yahayuk zepetto|false|12018
-953.4302368164062,172.20907592773438,881.5316772460938|0.24069331586360931,-7.824020542557264e-09,-0.9706012010574341|1.790699855064304e-08,1,-3.6203597897355166e-09|Running
-953.4302368164062,172.20907592773438,881.5316772460938|0.24069328606128693,-7.81733788812744e-09,-0.9706012010574341|1.7891698789185284e-08,1,-3.61726892883496e-09|Running
-953.4302368164062,172.20907592773438,881.5316772460938|0.24069331586360931,-9.76228609061991e-09,-0.9706012010574341|2.2343122907386714e-08,1,-4.517247464974616e-09|Running
-953.4302368164062,172.20907592773438,881.5316772460938|0.24069328606128693,-1.3649692931494428e-08,-0.9706012010574341|3.1240283249189815e-08,1,-6.3160499053083186e-09|Running
-953.4302368164062,172.20907592773438,881.5316772460938|0.24069331586360931,-5.843625139334563e-09,-0.9706012010574341|1.3374390483988918e-08,1,-2.7039928074401587e-09|Running
-953.4302368164062,172.20907592773438,881.5316772460938|0.24069328606128693,-5.839881467295527e-09,-0.9706012010574341|1.3365819562238812e-08,1,-2.7022615256555582e-09|Running
-953.4302368164062,172.20907592773438,881.5316772460938|0.24069331586360931,-7.779859423351354e-09,-0.9706012010574341|1.7805859897634946e-08,1,-3.5999419001342403e-09|Running
-953.4302368164062,172.20907592773438,881.5316772460938|0.24069328606128693,-7.774045407415997e-09,-0.9706012010574341|1.779254610312364e-08,1,-3.597253606102413e-09|Running
-953.4302368164062,172.20907592773438,881.5316772460938|0.24069331586360931,-9.708223558391182e-09,-0.9706012010574341|2.221930195389632e-08,1,-4.4922523478874155e-09|Running
-953.4302368164062,172.20907592773438,881.5316772460938|0.24069328606128693,-5.8199582930740235e-09,-0.9706012010574341|1.3320191172283558e-08,1,-2.6930500052202433e-09|Running
-953.4302368164062,172.20907592773438,881.5316772460938|0.24069331586360931,-5.8162323846033814e-09,-0.9706012010574341|1.331165311313498e-08,1,-2.6913280493090497e-09|Running
-953.4302368164062,172.20907592773438,881.5316772460938|0.24069328606128693,-1.1621287931973256e-08,-0.9706012010574341|2.659771247692788e-08,1,-5.377487788393864e-09|Running
-953.4302368164062,172.20907592773438,881.5316772460938|0.24069331586360931,-7.739256346894763e-09,-0.9706012010574341|1.7712865840735503e-08,1,-3.581170249233878e-09|Running
-953.4302368164062,172.20907592773438,881.5316772460938|0.24069328606128693,-5.800103952680047e-09,-0.9706012010574341|1.3274716437194911e-08,1,-2.6838713473864573e-09|Running
-953.4302368164062,172.20907592773438,881.5316772460938|0.24069331586360931,-5.7963909227964905e-09,-0.9706012010574341|1.3266207687934184e-08,1,-2.6821553866795966e-09|Running
-953.4302368164062,172.20907592773438,881.5316772460938|0.24069328606128693,-9.65239976835619e-09,-0.9706012010574341|2.2091452223094166e-08,1,-4.466443215278559e-09|Running
-953.4302368164062,172.20907592773438,881.5316772460938|0.24069331586360931,-7.71450281433772e-09,-0.9706012010574341|1.7656168083135526e-08,1,-3.569726736429857e-09|Running
-953.4302368164062,172.20907592773438,881.5316772460938|0.24069328606128693,-7.707913418641965e-09,-0.9706012010574341|1.76410814844985e-08,1,-3.5666791742272608e-09|Running
-953.4302368164062,172.20907592773438,881.5316772460938|0.24069331586360931,-7.701332904730407e-09,-0.9706012010574341|1.762600554400251e-08,1,-3.5636378292736026e-09|Running
-953.4302368164062,172.20907592773438,881.5316772460938|0.24069328606128693,-7.694754167175688e-09,-0.9706012010574341|1.7610943814361235e-08,1,-3.56059537409692e-09|Running
