Mt Freestyle|true|13238
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9175488352775574,9.437953751856298e-10,0.3976231515407562|-2.235714724463378e-09,1,2.7855067141757672e-09|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9175488352775574,8.633852743855641e-09,0.3976231515407562|-2.0451963678169705e-08,1,2.5480968446345287e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9175488352775574,1.6317340367777433e-08,0.3976231515407562|-3.8652654410498144e-08,1,4.8157044574281826e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9175488352775574,2.399426435317764e-08,0.3976231515407562|-5.6837794915054474e-08,1,7.081375485995522e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9175488352775574,3.1664630029126783e-08,0.3976231515407562|-7.500739940269341e-08,1,9.34511135142202e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9175488352775574,2.074457228218307e-08,0.3976231515407562|-4.913989570809463e-08,1,6.122299112121254e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9175488352775574,9.833847514073568e-09,0.3976231515407562|-2.3294488116221146e-08,1,2.9022409364642954e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9175488352775574,-1.0675574868557192e-09,0.3976231515407562|2.52884069240622e-09,1,-3.150665062179314e-09|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9175488352775574,-1.1959651935455895e-08,0.3976231515407562|2.8330109813623494e-08,1,-3.5296249478733444e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9175488352775574,-2.284244260408741e-08,0.3976231515407562|5.410933567873144e-08,1,-6.741437630353175e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9175488352775574,-3.3715934932843084e-08,0.3976231515407562|7.986654537717186e-08,1,-9.950506552058869e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9175488352775574,-2.3668656368158736e-08,0.3976231515407562|5.60664652482501e-08,1,-6.985273870441233e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9175488352775574,-1.3629956718830272e-08,0.3976231515407562|3.228671019428475e-08,1,-4.0225714315056393e-08|Running
