mount feels|false|16760
999.1077880859375,17.252099990844727,-158.34837341308594|-0.9999755620956421,0.004037270322442055,0.005717039108276367|0.0040198033675551414,0.9999872446060181,-0.0030634498689323664|Seated
999.1077880859375,17.252099990844727,-158.34837341308594|-0.9999755620956421,0.004037270322442055,0.005717039108276367|0.0040198033675551414,0.9999872446060181,-0.0030634498689323664|Seated
999.1077880859375,17.252099990844727,-158.34837341308594|-0.9999755620956421,0.004037270322442055,0.005717039108276367|0.0040198033675551414,0.9999872446060181,-0.0030634498689323664|Seated
999.1077880859375,17.252099990844727,-158.34837341308594|-0.9999755620956421,0.004037270322442055,0.005717039108276367|0.0040198033675551414,0.9999872446060181,-0.0030634498689323664|Seated
999.1077880859375,17.252099990844727,-158.34837341308594|-0.9999755620956421,0.004037270322442055,0.005717039108276367|0.0040198033675551414,0.9999872446060181,-0.0030634498689323664|Seated
999.1077880859375,17.252099990844727,-158.34837341308594|-0.9999755620956421,0.004037270322442055,0.005717039108276367|0.0040198033675551414,0.9999872446060181,-0.0030634498689323664|Seated
999.1077880859375,17.252099990844727,-158.34837341308594|-0.9999755620956421,0.004037270322442055,0.005717039108276367|0.0040198033675551414,0.9999872446060181,-0.0030634498689323664|Seated
999.1077880859375,17.252099990844727,-158.34837341308594|-0.9999755620956421,0.004037270322442055,0.005717039108276367|0.0040198033675551414,0.9999872446060181,-0.0030634498689323664|Seated
999.1077880859375,17.252099990844727,-158.34837341308594|-0.9999755620956421,0.004037270322442055,0.005717039108276367|0.0040198033675551414,0.9999872446060181,-0.0030634498689323664|Seated
999.1077880859375,17.252099990844727,-158.34837341308594|-0.9999755620956421,0.004037270322442055,0.005717039108276367|0.0040198033675551414,0.9999872446060181,-0.0030634498689323664|Seated
999.1077880859375,17.252099990844727,-158.34837341308594|-0.9999755620956421,0.004037270322442055,0.005717039108276367|0.0040198033675551414,0.9999872446060181,-0.0030634498689323664|Seated
999.1077880859375,17.252099990844727,-158.34837341308594|-0.9999755620956421,0.004037270322442055,0.005717039108276367|0.0040198033675551414,0.9999872446060181,-0.0030634498689323664|Seated
999.1077880859375,17.252099990844727,-158.34837341308594|-0.9999755620956421,0.004037270322442055,0.005717039108276367|0.0040198033675551414,0.9999872446060181,-0.0030634498689323664|Seated
999.1077880859375,17.252099990844727,-158.34837341308594|-0.9999755620956421,0.004037270322442055,0.005717039108276367|0.0040198033675551414,0.9999872446060181,-0.0030634498689323664|Seated
999.1077880859375,17.252099990844727,-158.34837341308594|-0.9999755620956421,0.004037270322442055,0.005717039108276367|0.0040198033675551414,0.9999872446060181,-0.0030634498689323664|Seated
999.1077880859375,17.252099990844727,-158.34837341308594|-0.9999755620956421,0.004037270322442055,0.005717039108276367|0.0040198033675551414,0.9999872446060181,-0.0030634498689323664|Seated
999.1077880859375,17.252099990844727,-158.34837341308594|-0.9999755620956421,0.004037270322442055,0.005717039108276367|0.0040198033675551414,0.9999872446060181,-0.0030634498689323664|Seated
999.1077880859375,17.252099990844727,-158.34837341308594|-0.9999755620956421,0.004037270322442055,0.005717039108276367|0.0040198033675551414,0.9999872446060181,-0.0030634498689323664|Seated
999.1077880859375,17.252099990844727,-158.34837341308594|-0.9999755620956421,0.004037270322442055,0.005717039108276367|0.0040198033675551414,0.9999872446060181,-0.0030634498689323664|Seated
999.1077880859375,17.252099990844727,-158.34837341308594|-0.9999755620956421,0.004037270322442055,0.005717039108276367|0.0040198033675551414,0.9999872446060181,-0.0030634498689323664|Seated
999.1077880859375,17.252099990844727,-158.34837341308594|-0.9999755620956421,0.004037270322442055,0.005717039108276367|0.0040198033675551414,0.9999872446060181,-0.0030634498689323664|Seated
999.1077880859375,17.252099990844727,-158.34837341308594|-0.9999755620956421,0.004037270322442055,0.005717039108276367|0.0040198033675551414,0.9999872446060181,-0.0030634498689323664|Seated
999.1077880859375,17.252099990844727,-158.34837341308594|-0.9999755620956421,0.004037270322442055,0.005717039108276367|0.0040198033675551414,0.9999872446060181,-0.0030634498689323664|Seated
999.1077880859375,17.252099990844727,-158.34837341308594|-0.9999755620956421,0.004037270322442055,0.005717039108276367|0.0040198033675551414,0.9999872446060181,-0.0030634498689323664|Seated
999.1077880859375,17.252099990844727,-158.34837341308594|-0.9999755620956421,0.004037270322442055,0.005717039108276367|0.0040198033675551414,0.9999872446060181,-0.0030634498689323664|Seated
999.1077880859375,17.252099990844727,-158.34837341308594|-0.9999755620956421,0.004037270322442055,0.005717039108276367|0.0040198033675551414,0.9999872446060181,-0.0030634498689323664|Seated
999.1077880859375,17.252099990844727,-158.34837341308594|-0.9999755620956421,0.004037270322442055,0.005717039108276367|0.0040198033675551414,0.9999872446060181,-0.0030634498689323664|Seated
999.1077880859375,17.252099990844727,-158.34837341308594|-0.9999755620956421,0.004037270322442055,0.005717039108276367|0.0040198033675551414,0.9999872446060181,-0.0030634498689323664|Seated
999.1077880859375,17.252099990844727,-158.34837341308594|-0.9999755620956421,0.004037270322442055,0.005717039108276367|0.0040198033675551414,0.9999872446060181,-0.0030634498689323664|Seated
999.1077880859375,17.252099990844727,-158.34837341308594|-0.9999755620956421,0.004037270322442055,0.005717039108276367|0.0040198033675551414,0.9999872446060181,-0.0030634498689323664|Seated
999.1077880859375,17.252099990844727,-158.34837341308594|-0.9999755620956421,0.004037270322442055,0.005717039108276367|0.0040198033675551414,0.9999872446060181,-0.0030634498689323664|Seated
999.1077880859375,17.252099990844727,-158.34837341308594|-0.9999755620956421,0.004037270322442055,0.005717039108276367|0.0040198033675551414,0.9999872446060181,-0.0030634498689323664|Seated
999.1077880859375,17.252099990844727,-158.34837341308594|-0.9999755620956421,0.004037270322442055,0.005717039108276367|0.0040198033675551414,0.9999872446060181,-0.0030634498689323664|Seated
999.1077880859375,17.252099990844727,-158.34837341308594|-0.9999755620956421,0.004037270322442055,0.005717039108276367|0.0040198033675551414,0.9999872446060181,-0.0030634498689323664|Seated
999.1077880859375,17.252099990844727,-158.34837341308594|-0.9999755620956421,0.004037270322442055,0.005717039108276367|0.0040198033675551414,0.9999872446060181,-0.0030634498689323664|Seated
999.1077880859375,17.252099990844727,-158.34837341308594|-0.9999755620956421,0.004037270322442055,0.005717039108276367|0.0040198033675551414,0.9999872446060181,-0.0030634498689323664|Seated
999.1077880859375,17.252099990844727,-158.34837341308594|-0.9999755620956421,0.004037270322442055,0.005717039108276367|0.0040198033675551414,0.9999872446060181,-0.0030634498689323664|Seated
