bayiii|true|1391
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
