serenity|true|5826
-785.2877197265625,371.3005065917969,12.05960750579834|-0.858208954334259,6.541143449112496e-08,-0.5133004784584045|3.3610426442010066e-08,1,7.12383183554266e-08|Running
-785.2877197265625,371.3005065917969,12.05960750579834|-0.858208954334259,4.799374053732208e-08,-0.5133004784584045|2.4660669950549163e-08,1,5.226905841482221e-08|Running
-785.2877197265625,371.3005065917969,12.05960750579834|-0.858208954334259,3.0583493071389967e-08,-0.5133004784584045|1.571473795536349e-08,1,3.330790221411917e-08|Running
-785.2877197265625,371.3005065917969,12.05960750579834|-0.858208954334259,1.3180684099722839e-08,-0.5133004784584045|6.7726309005422536e-09,1,1.4354851529674306e-08|Running
-785.2877197265625,371.3005065917969,12.05960750579834|-0.858208954334259,-4.21468548950088e-09,-0.5133004784584045|-2.165655432762037e-09,1,-4.590100299850519e-09|Running
-785.2877197265625,371.3005065917969,12.05960750579834|-0.858208954334259,-2.160262013717329e-08,-0.5133004784584045|-1.1100120822504778e-08,1,-2.3526956383079778e-08|Running
-785.2877197265625,371.3005065917969,12.05960750579834|-0.858208954334259,-3.898312428418649e-08,-0.5133004784584045|-2.0030766378908993e-08,1,-4.245571716410268e-08|Running
-785.2877197265625,371.3005065917969,12.05960750579834|-0.858208954334259,-5.6356199706897314e-08,-0.5133004784584045|-2.8957595432643757e-08,1,-6.137639019243579e-08|Running
-785.2877197265625,371.3005065917969,12.05960750579834|-0.858208954334259,-5.6356199706897314e-08,-0.5133004784584045|-2.8957595432643757e-08,1,-6.137639019243579e-08|Running
-785.2877197265625,371.3005065917969,12.059606552124023|-0.858208954334259,-9.108007503755289e-08,-0.5133004784584045|-4.679980492028335e-08,1,-9.919348542553053e-08|Running
-785.2877197265625,371.3005065917969,12.059606552124023|-0.858208954334259,-7.906076859853783e-08,-0.5133004784584045|-4.062390601689003e-08,1,-8.610349766513536e-08|Running
-785.2877197265625,371.3005065917969,12.05960750579834|-0.858208954334259,-6.704659227807497e-08,-0.5133004784584045|-3.4450646779760064e-08,1,-7.301910898149799e-08|Running
-785.2877197265625,371.3005065917969,12.05960750579834|-0.858208954334259,-5.5037556734305326e-08,-0.5133004784584045|-2.8280023656179765e-08,1,-5.99403051637637e-08|Running
-785.2877197265625,371.3005065917969,12.05960750579834|-0.858208954334259,-4.303365130908787e-08,-0.5133004784584045|-2.2112040198862815e-08,1,-4.686709331735983e-08|Running
-785.2877197265625,371.3005065917969,12.05960750579834|-0.858208954334259,-3.1034879555136285e-08,-0.5133004784584045|-1.5946692855095534e-08,1,-3.379946988957272e-08|Running
-785.2877197265625,371.3005065917969,12.05960750579834|-0.858208954334259,-1.9041232590666368e-08,-0.5133004784584045|-9.783980736699505e-09,1,-2.0737431327688682e-08|Running
-785.2877197265625,371.3005065917969,12.05960750579834|-0.858208954334259,-1.9041232590666368e-08,-0.5133004784584045|-9.783980736699505e-09,1,-2.0737431327688682e-08|Running
-785.2877197265625,371.3005065917969,12.05960750579834|-0.858208954334259,4.9306834171147784e-09,-0.5133004784584045|2.5335427089601126e-09,1,5.369904076957255e-09|Running
-785.2877197265625,371.3005065917969,12.05960750579834|-0.858208954334259,1.6908957789496526e-08,-0.5133004784584045|8.68835581258054e-09,1,1.8415203584254414e-08|Running
-785.2877197265625,371.3005065917969,12.05960750579834|-0.858208954334259,2.8882112701467122e-08,-0.5133004784584045|1.4840538575811024e-08,1,3.1454927551521905e-08|Running
-785.2877197265625,371.3005065917969,12.05960750579834|-0.858208954334259,4.0850149929383406e-08,-0.5133004784584045|2.0990091442740777e-08,1,4.448908086374104e-08|Running
-785.2877197265625,371.3005065917969,12.05960750579834|-0.858208954334259,5.2813074802315896e-08,-0.5133004784584045|2.7137016189726637e-08,1,5.751765996819813e-08|Running
-785.2877197265625,371.3005065917969,12.05960750579834|-0.858208954334259,6.477088732026459e-08,-0.5133004784584045|3.3281313704947024e-08,1,7.054067197032055e-08|Running
-785.2877197265625,371.3005065917969,12.05960750579834|-0.858208954334259,7.67235874832295e-08,-0.5133004784584045|3.942298576475878e-08,1,8.355812042282196e-08|Running
-785.2877197265625,371.3005065917969,12.05960750579834|-0.858208954334259,8.867117884392428e-08,-0.5133004784584045|4.55620323691619e-08,1,9.657000532570237e-08|Running
-785.2877197265625,371.3005065917969,12.05960750579834|-0.858208954334259,1.0061366140234895e-07,-0.5133004784584045|5.169845707087006e-08,1,1.0957632667896178e-07|Running
-785.2877197265625,371.3005065917969,12.05960750579834|-0.858208954334259,8.312029109447394e-08,-0.5133004784584045|4.270981435183785e-08,1,9.052465088643658e-08|Running
-785.2877197265625,371.3005065917969,12.05960750579834|-0.858208954334259,6.563440280160648e-08,-0.5133004784584045|3.372501211629242e-08,1,7.148111791366318e-08|Running
-785.2877197265625,371.3005065917969,12.05960750579834|-0.858208954334259,4.8155982312891865e-08,-0.5133004784584045|2.474405214059061e-08,1,5.2445724207927924e-08|Running
-785.2877197265625,371.3005065917969,12.05960750579834|-0.858208954334259,3.0685033181043764e-08,-0.5133004784584045|1.5766929095661908e-08,1,3.341846266380344e-08|Running
-785.2877197265625,371.3005065917969,12.05960750579834|-0.858208954334259,1.3221550076991662e-08,-0.5133004784584045|6.7936425374170994e-09,1,1.4399335057646567e-08|Running
-785.2877197265625,371.3005065917969,12.05960750579834|-0.858208954334259,-4.234468775621281e-09,-0.5133004784584045|-2.175808866411444e-09,1,-4.611665271880838e-09|Running
-785.2877197265625,371.3005065917969,12.05960750579834|-0.858208954334259,-2.1683026929508742e-08,-0.5133004784584045|-1.1141426448091352e-08,1,-2.3614539657046407e-08|Running
-785.2877197265625,371.3005065917969,12.05960750579834|-0.858208954334259,-3.91241279373844e-08,-0.5133004784584045|-2.0103211539890253e-08,1,-4.260929387100987e-08|Running
-785.2877197265625,371.3005065917969,12.05960750579834|-0.858208954334259,-5.65577735756051e-08,-0.5133004784584045|-2.906116591816499e-08,1,-6.159593368693095e-08|Running
-785.2877197265625,371.3005065917969,12.05960750579834|-0.858208954334259,-7.398396917324135e-08,-0.5133004784584045|-3.8015290471093977e-08,1,-8.057445910480965e-08|Running
-785.3126831054688,371.3005065917969,12.044306755065918|-0.8580108880996704,-9.030460290659903e-08,-0.5136315226554871|-4.599465697197047e-08,1,-9.898280950437766e-08|Running
-785.370849609375,371.3005065917969,12.008480072021484|-0.8576238751411438,-8.626670933153946e-08,-0.514277458190918|-4.1894107738471575e-08,1,-9.787969901253746e-08|Running
-785.462158203125,371.3005065917969,11.952086448669434|-0.8571686744689941,-5.568047001247578e-08,-0.5150358080863953|-2.0391487609572323e-08,1,-7.417256853159415e-08|Running
-785.5866088867188,371.3005065917969,11.875129699707031|-0.8567092418670654,-1.0523983462462638e-08,-0.5157996416091919|1.3687086131142223e-08,1,-4.313658763521744e-08|Running
-785.7443237304688,371.3005065917969,11.777608871459961|-0.8562681674957275,4.862520697201944e-08,-0.5165315270423889|5.983416428989585e-08,1,-5.050772688974803e-09|Running
-785.9352416992188,371.3005065917969,11.659524917602539|-0.8558525443077087,8.114384542068365e-08,-0.5172199010848999|8.06942068720673e-08,1,2.335854176749308e-08|Running
-786.1592407226562,371.3005065917969,11.520877838134766|-0.8554637432098389,8.903320036779405e-08,-0.5178626775741577|8.069773826946403e-08,1,3.8618740205720314e-08|Running
-786.4160766601562,371.3005065917969,11.361043930053711|-0.8550167679786682,1.0863227828394884e-07,-0.5186004042625427|9.078539875417846e-08,1,5.979409678502634e-08|Running
-786.6941528320312,371.3005065917969,11.187284469604492|-0.8545495867729187,1.0516555448703002e-07,-0.5193698406219482|8.451075927951024e-08,1,6.343633174310526e-08|Running
-786.9755859375,371.3005065917969,11.010013580322266|-0.854010820388794,1.1869948934872809e-07,-0.5202552676200867|9.287313673667086e-08,1,7.570288573788275e-08|Running
-787.25732421875,371.3005065917969,10.832098960876465|-0.8534510135650635,1.142146501820207e-07,-0.5211731195449829|8.935181483593624e-08,1,7.283041725258954e-08|Running
-787.5391845703125,371.3005065917969,10.654094696044922|-0.8529078364372253,1.1239237096560828e-07,-0.5220614671707153|8.911595017480067e-08,1,6.969423083091897e-08|Running
-787.8204345703125,371.3005065917969,10.475128173828125|-0.8523087501525879,1.1424793200376371e-07,-0.5230390429496765|9.303035142238514e-08,1,6.683507081106654e-08|Running
-788.1013793945312,371.3005065917969,10.295878410339355|-0.8516964912414551,1.2023221529489092e-07,-0.5240353941917419|1.0049710397197487e-07,1,6.610085989677827e-08|Running
-788.2418823242188,371.3005065917969,10.206235885620117|-0.851398766040802,1.220828238501781e-07,-0.5245189666748047|1.0324782806492294e-07,1,6.516016526347812e-08|Running
-788.6633911132812,371.3005065917969,9.937294960021973|-0.8505455851554871,1.2081274292086164e-07,-0.5259013175964355|1.0477526046770436e-07,1,6.027101306926852e-08|Running
-788.8038940429688,371.3005065917969,9.847647666931152|-0.8502783179283142,1.2400386140143382e-07,-0.5263333916664124|1.0823744389654166e-07,1,6.07446111189347e-08|Running
-789.2244262695312,371.3005065917969,9.577153205871582|-0.8493781089782715,1.1443297154301035e-07,-0.5277848243713379|1.0060129795874673e-07,1,5.491713750416238e-08|Running
-789.504638671875,371.3005065917969,9.396601676940918|-0.8487797975540161,1.1823937740018664e-07,-0.528746485710144|1.0382464665781299e-07,1,5.6955673954917074e-08|Running
-789.7842407226562,371.3005065917969,9.21509075164795|-0.8481277823448181,1.27334544686164e-07,-0.5297916531562805|1.1114750009255658e-07,1,6.241558736519437e-08|Running
-790.0630493164062,371.3005065917969,9.032357215881348|-0.8473789691925049,1.2774624735811813e-07,-0.5309885740280151|1.1068835448213576e-07,1,6.393972284968186e-08|Running
-790.3409423828125,371.3005065917969,8.848365783691406|-0.8465219736099243,1.3108557084251515e-07,-0.5323538184165955|1.1269273869629615e-07,1,6.703942290187115e-08|Running
-790.61865234375,371.3005065917969,8.66405200958252|-0.8456437587738037,1.225752868094787e-07,-0.5337477326393127|1.0482866485972409e-07,1,6.356483339686747e-08|Running
-790.8963623046875,371.3005065917969,8.479693412780762|-0.8447954058647156,1.2437592999958724e-07,-0.5350894331932068|1.0594233401661768e-07,1,6.517851147691545e-08|Running
-791.174072265625,371.3005065917969,8.295328140258789|-0.843993604183197,1.282932657886704e-07,-0.5363532304763794|1.0904378200393694e-07,1,6.760657811355486e-08|Running
-791.451171875,371.3005065917969,8.110026359558105|-0.843154788017273,1.3163403878024837e-07,-0.5376709699630737|1.1178836700764805e-07,1,6.95204747103162e-08|Running
-791.72802734375,371.3005065917969,7.924447059631348|-0.8423187732696533,1.3568111967288132e-07,-0.5389796495437622|1.1521070319986393e-07,1,7.168541316104893e-08|Running
-792.0048828125,371.3005065917969,7.738829135894775|-0.8415194153785706,1.3716778823891218e-07,-0.5402268767356873|1.1648073439118889e-07,1,7.246397615290334e-08|Running
-792.28173828125,371.3005065917969,7.553205966949463|-0.8407669067382812,1.333965258254466e-07,-0.5413972735404968|1.1327590954124389e-07,1,7.048039663004602e-08|Running
-792.55859375,371.3005065917969,7.367581844329834|-0.8400629758834839,1.2391781467613328e-07,-0.5424888730049133|1.0520265902869141e-07,1,6.551463371806676e-08|Running
-792.83544921875,371.3005065917969,7.181957244873047|-0.8394061923027039,1.2514296088284027e-07,-0.5435045957565308|1.0617954870895119e-07,1,6.626473947335398e-08|Running
-793.1123046875,371.3005065917969,6.996333122253418|-0.8387940526008606,1.1489067475167758e-07,-0.5444487929344177|9.741157214193663e-08,1,6.094681737067731e-08|Running
-793.3885498046875,371.3005065917969,6.809776306152344|-0.8381351232528687,1.2920560266138637e-07,-0.5454626679420471|1.0943287520603917e-07,1,6.872343760733202e-08|Running
-793.526611328125,371.3005065917969,6.716369152069092|-0.8378010988235474,1.250796941576482e-07,-0.5459755659103394|1.0589830168328263e-07,1,6.659267626218934e-08|Running
-793.8025512695312,371.3005065917969,6.529506683349609|-0.8371471762657166,1.1887062356663591e-07,-0.5469777584075928|1.0055732246883053e-07,1,6.342003899817428e-08|Running
-794.216552734375,371.3005065917969,6.249190330505371|-0.8362191319465637,1.288022701828595e-07,-0.5483954548835754|1.0878142830961224e-07,1,6.899612259303467e-08|Running
-794.3545532226562,371.3005065917969,6.1557512283325195|-0.8359290361404419,1.2266944793282164e-07,-0.5488374829292297|1.035645027513965e-07,1,6.576967592764049e-08|Running
-794.7685546875,371.3005065917969,5.87543249130249|-0.8351154923439026,1.1494454810190291e-07,-0.5500746369361877|9.693103919516943e-08,1,6.180239608966076e-08|Running
-795.0445556640625,371.3005065917969,5.688553810119629|-0.8346188068389893,1.0720956566956374e-07,-0.5508279204368591|9.033784920120524e-08,1,5.7752878035444155e-08|Running
-795.320556640625,371.3005065917969,5.501675128936768|-0.8341596722602844,1.1325204951617707e-07,-0.5515230298042297|9.534610967421031e-08,1,6.113646122685168e-08|Running
-795.4585571289062,371.3005065917969,5.408235549926758|-0.8339436054229736,1.2080455746854568e-07,-0.5518496632575989|1.016637227735373e-07,1,6.527636031705697e-08|Running
