aneh pro|false|14975
-74.75387573242188,526.2247924804688,982.3468017578125|-0,-0,-1|0,1,0|Running
-74.75387573242188,526.2247924804688,982.3468017578125|-0,-0,-1|0,1,0|Running
-74.75387573242188,526.2247924804688,982.3468017578125|-0,-0,-1|0,1,0|Running
-74.75387573242188,526.2247924804688,982.3468017578125|-0,-0,-1|0,1,0|Running
-74.75387573242188,526.2247924804688,982.3468017578125|-0,-0,-1|0,1,0|Running
-74.75387573242188,526.2247924804688,982.3468017578125|-0,-0,-1|0,1,0|Running
-74.75387573242188,526.2247924804688,982.3468017578125|-0,-0,-1|0,1,0|Running
-74.75387573242188,526.2247924804688,982.3468017578125|-0,-0,-1|0,1,0|Running
-74.75387573242188,526.2247924804688,982.3468017578125|-0,-0,-1|0,1,0|Running
-74.75387573242188,526.2247924804688,982.3468017578125|-0,-0,-1|0,1,0|Running
-74.75387573242188,526.2247924804688,982.3468017578125|-0,-0,-1|0,1,0|Running
-74.75387573242188,526.2247924804688,982.3468017578125|-0,-0,-1|0,1,0|Running
-74.75387573242188,526.2247924804688,982.3468017578125|-0,-0,-1|0,1,0|Running
-74.75387573242188,526.2247924804688,982.3468017578125|-0,-0,-1|0,1,0|Running
-74.75387573242188,526.2247924804688,982.3468017578125|-0,-0,-1|0,1,0|Running
-74.75387573242188,526.2247924804688,982.3468017578125|-0,-0,-1|0,1,0|Running
-74.75387573242188,526.2247924804688,982.3468017578125|-0,-0,-1|0,1,0|Running
-74.75387573242188,526.2247924804688,982.3468017578125|-0,-0,-1|0,1,0|Running
-74.75387573242188,526.2247924804688,982.3468017578125|-0,-0,-1|0,1,0|Running
-74.75387573242188,526.2247924804688,982.3468017578125|-0,-0,-1|0,1,0|Running
-74.75387573242188,526.2247924804688,982.3468017578125|-0,-0,-1|0,1,0|Running
-74.75387573242188,526.2247924804688,982.3468017578125|-0,-0,-1|0,1,0|Running
-74.75387573242188,526.2247924804688,982.3468017578125|-0,-0,-1|0,1,0|Running
-74.75387573242188,526.2247924804688,982.3468017578125|-0,-0,-1|0,1,0|Running
-74.75387573242188,526.2247924804688,982.3468017578125|-0,-0,-1|0,1,0|Running
-74.75387573242188,526.2247924804688,982.3468017578125|-0,-0,-1|0,1,0|Running
-74.75387573242188,526.2247924804688,982.3468017578125|-0,-0,-1|0,1,0|Running
-74.75387573242188,526.2247924804688,982.3468017578125|-0,-0,-1|0,1,0|Running
-74.75387573242188,526.2247924804688,982.3468017578125|-0,-0,-1|0,1,0|Running
-74.75387573242188,526.2247924804688,982.3468017578125|-0,-0,-1|0,1,0|Running
-74.75387573242188,526.2247924804688,982.3468017578125|-0,-0,-1|0,1,0|Running
-74.75387573242188,526.2247924804688,982.3468017578125|-0,-0,-1|0,1,0|Running
-74.75387573242188,526.2247924804688,982.3468017578125|-0,-0,-1|0,1,0|Running
-74.75387573242188,526.2247924804688,982.3468017578125|-0,-0,-1|0,1,0|Running
-74.75387573242188,526.2247924804688,982.3468017578125|-0,-0,-1|0,1,0|Running
-74.75387573242188,526.2247924804688,982.3468017578125|-0,-0,-1|0,1,0|Running
-74.75387573242188,526.2247924804688,982.3468017578125|-0,-0,-1|0,1,0|Running
-74.75387573242188,526.2247924804688,982.3468017578125|-0,-0,-1|0,1,0|Running
-74.75387573242188,526.2247924804688,982.3468017578125|-0,-0,-1|0,1,0|Running
-74.75387573242188,526.2247924804688,982.3468017578125|-0,-0,-1|0,1,0|Running
-74.75387573242188,526.2247924804688,982.3468017578125|-0,-0,-1|0,1,0|Running
-74.75387573242188,526.2247924804688,982.3468017578125|-0,-0,-1|0,1,0|Running
-74.75387573242188,526.2247924804688,982.3468017578125|-0,-0,-1|0,1,0|Running
-74.75387573242188,526.2247924804688,982.3468017578125|-0,-0,-1|0,1,0|Running
-74.75387573242188,526.2247924804688,982.3468017578125|-0,-0,-1|0,1,0|Running
-74.75387573242188,526.2247924804688,982.3468017578125|-0,-0,-1|0,1,0|Running
-74.75387573242188,526.2247924804688,982.3468017578125|-0,-0,-1|0,1,0|Running
-74.75387573242188,526.2247924804688,982.3468017578125|-0,-0,-1|0,1,0|Running
-74.75387573242188,526.2247924804688,982.3468017578125|-0,-0,-1|0,1,0|Running
-74.75387573242188,526.2247924804688,982.3468017578125|-0,-0,-1|0,1,0|Running
-74.75387573242188,526.2247924804688,982.3468017578125|-0,-0,-1|0,1,0|Running
-74.75387573242188,526.2247924804688,982.3468017578125|-0,-0,-1|0,1,0|Running
-74.75387573242188,526.2247924804688,982.3468017578125|-0,-0,-1|0,1,0|Running
-74.75387573242188,526.2247924804688,982.3468017578125|-0,-0,-1|0,1,0|Running
-74.75387573242188,526.2247924804688,982.3468017578125|-0,-0,-1|0,1,0|Running
-74.75387573242188,526.2247924804688,982.3468017578125|-0,-0,-1|0,1,0|Running
-74.75387573242188,526.2247924804688,982.3468017578125|-0,-0,-1|0,1,0|Running
-74.75387573242188,526.2247924804688,982.3468017578125|-0,-0,-1|0,1,0|Running
-74.75387573242188,526.2247924804688,982.3468017578125|-0,-0,-1|0,1,0|Running
-74.75387573242188,526.2247924804688,982.3468017578125|-0,-0,-1|0,1,0|Running
-74.75387573242188,526.2247924804688,982.3468017578125|-0,-0,-1|0,1,0|Running
-74.75387573242188,526.2247924804688,982.3468017578125|-0,-0,-1|0,1,0|Running
-74.75387573242188,526.2247924804688,982.3468017578125|-0,-0,-1|0,1,0|Running
-74.75387573242188,526.2247924804688,982.3468017578125|-0,-0,-1|0,1,0|Running
-74.75387573242188,526.2247924804688,982.3468017578125|-0,-0,-1|0,1,0|Running
-74.75387573242188,526.2247924804688,982.3468017578125|-0,-0,-1|0,1,0|Running
-74.75387573242188,526.2247924804688,982.3468017578125|-0,-0,-1|0,1,0|Running
-74.75387573242188,526.2247924804688,982.3468017578125|-0,-0,-1|0,1,0|Running
-74.75387573242188,526.2247924804688,982.3468017578125|-0,-0,-1|0,1,0|Running
-74.75387573242188,526.2247924804688,982.3468017578125|-0,-0,-1|0,1,0|Running
-74.75387573242188,526.2247924804688,982.3468017578125|-0,-0,-1|0,1,0|Running
-74.75387573242188,526.2247924804688,982.3468017578125|-0,-0,-1|0,1,0|Running
-74.75387573242188,526.2247924804688,982.3468017578125|-0,-0,-1|0,1,0|Running
-74.75387573242188,526.2247924804688,982.3468017578125|-0,-0,-1|0,1,0|Running
-74.75387573242188,526.2247924804688,982.3468017578125|-0,-0,-1|0,1,0|Running
-74.75387573242188,526.2247924804688,982.3468017578125|-0,-0,-1|0,1,0|Running
-74.75387573242188,526.2247924804688,982.3468017578125|-0,-0,-1|0,1,0|Running
-74.75387573242188,526.2247924804688,982.3468017578125|-0,-0,-1|0,1,0|Running
-74.75387573242188,526.2247924804688,982.3468017578125|-0,-0,-1|0,1,0|Running
-74.75387573242188,526.2247924804688,982.3468017578125|-0,-0,-1|0,1,0|Running
-74.75387573242188,526.2247924804688,982.3468017578125|-0,-0,-1|0,1,0|Running
-74.75387573242188,526.2247924804688,982.3468017578125|-0,-0,-1|0,1,0|Running
-74.75387573242188,526.2247924804688,982.3468017578125|-0,-0,-1|0,1,0|Running
-74.75387573242188,526.2247924804688,982.3468017578125|-0,-0,-1|0,1,0|Running
-74.75387573242188,526.2247924804688,982.3468017578125|-0,-0,-1|0,1,0|Running
-74.75387573242188,526.2247924804688,982.3468017578125|-0,-0,-1|0,1,0|Running
-74.75387573242188,526.2247924804688,982.3468017578125|-0,-0,-1|0,1,0|Running
-74.75387573242188,526.2247924804688,982.3468017578125|-0,-0,-1|0,1,0|Running
-81.6983413696289,525.8714599609375,981.9696655273438|-0.09336987137794495,-5.471179420624139e-08,-0.9956315159797668|-9.519428800786045e-09,1,-5.405912517630895e-08|Running
-81.71491241455078,525.8714599609375,981.8588256835938|-0.14780917763710022,-3.673535076131884e-08,-0.9890158772468567|-9.364407915768425e-09,1,-3.574382034798873e-08|Running
-81.81996154785156,525.8714599609375,981.1558837890625|-0.1478091925382614,-1.2971678842177425e-08,-0.9890158772468567|-2.830823575550312e-08,1,-8.885056246299428e-09|Running
-81.92467498779297,525.8714599609375,980.4552612304688|-0.14780917763710022,1.0715485387891022e-08,-0.9890158772468567|-4.719106883044333e-08,1,1.788723480444787e-08|Running
-82.06315612792969,525.8714599609375,979.5286254882812|-0.1478091925382614,3.6056995611488674e-08,-0.9890158772468567|-6.739276159350993e-08,1,4.652935103877098e-08|Running
-82.18330383300781,525.8714599609375,978.724609375|-0.14780917763710022,5.804468372616611e-08,-0.9890158772468567|-8.492084901945418e-08,1,7.138081770108329e-08|Running
-82.29512023925781,525.8714599609375,977.9763793945312|-0.1478091925382614,5.6899811085031615e-08,-0.9890158772468567|-7.487222575264241e-08,1,6.872145519309925e-08|Running
-82.35572814941406,525.8714599609375,977.57080078125|-0.14780917763710022,5.6279283455751283e-08,-0.9890158772468567|-6.94257877853488e-08,1,6.728006241019102e-08|Running
-82.49434661865234,525.8714599609375,976.6431884765625|-0.1478091925382614,1.0367522840226684e-08,-0.9890158772468567|-2.672430943206905e-09,1,1.088206236232736e-08|Running
-82.6128921508789,525.8714599609375,975.8499755859375|-0.1478091925382614,-2.889476391487733e-08,-0.9890158772468567|5.4412939931580695e-08,1,-3.7347728465420005e-08|Running
-82.61436462402344,525.8714599609375,975.840087890625|-0.14780917763710022,-2.9383505406599397e-08,-0.9890158772468567|5.5123546616187014e-08,1,-3.794809799728682e-08|Running
-82.7348403930664,525.8714599609375,975.0338745117188|-0.1478091925382614,-3.7289169085852336e-08,-0.9890158772468567|6.135492469638848e-08,1,-4.687284871351949e-08|Running
-82.78678894042969,525.8714599609375,974.686279296875|-0.14780917763710022,-4.069784154125955e-08,-0.9890158772468567|6.404169283769079e-08,1,-5.072091369129339e-08|Running
-82.93478393554688,525.8714599609375,973.6959228515625|-0.1478091925382614,-2.6897735594388905e-08,-0.9890158772468567|3.365146739042757e-08,1,-3.222570299499239e-08|Running
-83.04542541503906,525.8714599609375,972.95556640625|-0.14780917763710022,-1.658086112854562e-08,-0.9890158772468567|1.0931930916058263e-08,1,-1.8398795376128874e-08|Running
-83.167724609375,525.8714599609375,972.1371459960938|-0.1478091925382614,-5.2058637400875796e-09,-0.9890158772468567|-1.4117840230198908e-08,1,-3.1537585876151297e-09|Running
-83.30406188964844,525.8714599609375,971.224853515625|-0.14780917763710022,7.474290519837723e-09,-0.9890158772468567|-4.204180470424035e-08,1,1.3840480761473373e-08|Running
