wasabi|true|3418
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,-6.817021946936563e-10,-0.9988024234771729|-1.4352022903452166e-09,1,-6.122178874967688e-10|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,-8.056224132246825e-09,-0.9988024234771729|-1.6792894186323792e-08,1,-7.243303290493941e-09|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,-1.5427593424988117e-08,-0.9988024234771729|-3.2144022554803087e-08,1,-1.3871552795308162e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,-2.2795809684339474e-08,-0.9988024234771729|-4.7488590837474476e-08,1,-2.049696945505275e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,-3.0160876463014574e-08,-0.9988024234771729|-6.28266008106948e-08,1,-2.7119551049281654e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,-3.752279553737026e-08,-0.9988024234771729|-7.815805247446406e-08,1,-3.3739301130708554e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,-3.752279553737026e-08,-0.9988024234771729|-7.815805247446406e-08,1,-3.3739301130708554e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,-4.4881563354692844e-08,-0.9988024234771729|-9.348294582878225e-08,1,-4.035622325204713e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,-5.223718702040969e-08,-0.9988024234771729|-1.0880129508450409e-07,1,-4.69703138605837e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,-4.38282832249115e-08,-0.9988024234771729|-9.128569189442715e-08,1,-3.9409311369809075e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,-3.5422978328369936e-08,-0.9988024234771729|-7.377757782478511e-08,1,-3.185153829576848e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,-2.70212634490008e-08,-0.9988024234771729|-5.6276942217436954e-08,1,-2.4297001743889268e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,-2.70212634490008e-08,-0.9988024234771729|-5.6276942217436954e-08,1,-2.4297001743889268e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,-1.8623142139517768e-08,-0.9988024234771729|-3.878378507238267e-08,1,-1.674569283238725e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,-1.0228611735385584e-08,-0.9988024234771729|-2.1298104613265423e-08,1,-9.19761333761926e-09|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,-1.8376712374035264e-09,-0.9988024234771729|-3.819897287371532e-09,1,-1.6527613722061574e-09|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,6.549681685896758e-09,-0.9988024234771729|1.365084045801268e-08,1,5.888864063052779e-09|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,6.549681685896758e-09,-0.9988024234771729|1.365084045801268e-08,1,5.888864063052779e-09|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,1.4933448255760595e-08,-0.9988024234771729|3.1114112175600894e-08,1,1.3427264633492086e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,2.3313630137522523e-08,-0.9988024234771729|4.856991608903627e-08,1,2.0962442448535512e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,3.169022733118254e-08,-0.9988024234771729|6.601825930374616e-08,1,2.8494397952272266e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,4.006324516581117e-08,-0.9988024234771729|8.345914181973058e-08,1,3.602313114470235e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,4.8432681865051563e-08,-0.9988024234771729|1.0089257074241686e-07,1,4.3548645578539436e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,5.679854098161741e-08,-0.9988024234771729|1.1831854607180503e-07,1,5.107094480649721e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,5.679854098161741e-08,-0.9988024234771729|1.1831854607180503e-07,1,5.107094480649721e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,4.786984675320127e-08,-0.9988024234771729|9.97182638684535e-08,1,4.304266099097731e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,3.894497169198985e-08,-0.9988024234771729|8.112593263831513e-08,1,3.501780909687113e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,3.002391224526946e-08,-0.9988024234771729|6.254155238138992e-08,1,2.6996387347821837e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,2.1106668413040097e-08,-0.9988024234771729|4.3965112439536824e-08,1,1.8978395743829424e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,1.219323575440967e-08,-0.9988024234771729|2.5396614589112687e-08,1,1.0963831620358633e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,1.219323575440967e-08,-0.9988024234771729|2.5396614589112687e-08,1,1.0963831620358633e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,3.283613603244362e-09,-0.9988024234771729|6.8360557214930395e-09,1,2.95269431127565e-09|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,-5.622200038857272e-09,-0.9988024234771729|-1.1716569936481847e-08,1,-5.055018181820969e-09|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,-1.4524205838029047e-08,-0.9988024234771729|-3.026126549343644e-08,1,-1.305930741324346e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,-2.3422405348583197e-08,-0.9988024234771729|-4.879803583435205e-08,1,-2.1060174049125635e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,-3.231680167914419e-08,-0.9988024234771729|-6.732688717647761e-08,1,-2.9057620309913545e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,-4.120739660606887e-08,-0.9988024234771729|-8.584781596709945e-08,1,-3.705164886014245e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,-4.120739660606887e-08,-0.9988024234771729|-8.584781596709945e-08,1,-3.705164886014245e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,-5.009419012935723e-08,-0.9988024234771729|-1.0436082931164492e-07,1,-4.504225614709867e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,-4.309868018026464e-08,-0.9988024234771729|-8.978669541193085e-08,1,-3.8752258291196995e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,-3.610616516880327e-08,-0.9988024234771729|-7.52187929720094e-08,1,-3.246494983955017e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,-2.911663798954578e-08,-0.9988024234771729|-6.06571148864532e-08,1,-2.6180330792158202e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,-2.911663798954578e-08,-0.9988024234771729|-6.06571148864532e-08,1,-2.6180330792158202e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,-2.2130100418848997e-08,-0.9988024234771729|-4.6101661155262263e-08,1,-1.9898397596307404e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,-1.5146550680356086e-08,-0.9988024234771729|-3.1552431778436585e-08,1,-1.361915202835462e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,-8.165986109531786e-09,-0.9988024234771729|-1.7009419650548807e-08,1,-7.3425909796753785e-09|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,-1.1884069284207044e-09,-0.9988024234771729|-2.472622551152881e-09,1,-1.0687133400466564e-09|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,5.786188861378605e-09,-0.9988024234771729|1.2057960852018823e-08,1,5.202481112576152e-09|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,5.786188861378605e-09,-0.9988024234771729|1.2057960852018823e-08,1,5.202481112576152e-09|Running
