Replay 1|true|798
-305.5828857421875,15.687385559082031,59.01620101928711|-3.4606614462973084e-08,-5.4185623099556324e-08,-1|-2.15094075883826e-08,1,-5.4185619546842645e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.4606614462973084e-08,-2.10852757476232e-08,-1|-8.369942072761205e-09,1,-2.10852757476232e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.460661801568676e-08,1.85884552195148e-08,-1|7.378895716669831e-09,1,1.85884552195148e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.460661801568676e-08,5.821132020855657e-08,-1|2.310755320422686e-08,1,5.821132020855657e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.4606614462973084e-08,9.778338494470518e-08,-1|3.8816054370727215e-08,1,9.778337783927782e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.460661801568676e-08,6.276897579482466e-08,-1|2.4916740670732906e-08,1,6.276897579482466e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.460661801568676e-08,-2.3850160957294975e-08,-1|-9.467604478174962e-09,1,-2.3850160957294975e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.460661801568676e-08,-8.150370689463671e-08,-1|-3.2353785428540505e-08,1,-8.150370689463671e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.4606614462973084e-08,-8.07872666541698e-08,-1|-3.206938004041149e-08,1,-8.07872666541698e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.4606614462973084e-08,-4.7619213461302934e-08,-1|-1.890294143436222e-08,1,-4.7619213461302934e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.460661801568676e-08,5.375968115117757e-09,-1|2.134115328900066e-09,1,5.375968115117757e-09|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.460661801568676e-08,5.1672444101313886e-08,-1|2.0512059606403454e-08,1,5.1672444101313886e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.460661801568676e-08,8.469896073393102e-08,-1|3.362234224368876e-08,1,8.469896073393102e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.460661801568676e-08,9.178811666288311e-08,-1|3.6436457406807676e-08,1,9.178810955745575e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.460661801568676e-08,3.391767933180745e-08,-1|1.3464029890997153e-08,1,3.391767933180745e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.460661801568676e-08,-3.350406174718046e-08,-1|-1.3299930934351778e-08,1,-3.350406174718046e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.460661801568676e-08,-8.160070308349532e-08,-1|-3.23925490874899e-08,1,-8.160070308349532e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.4606614462973084e-08,-7.423904690995187e-08,-1|-2.94702218184284e-08,1,-7.423904690995187e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.4606614462973084e-08,-3.4402781068365584e-08,-1|-1.3656632269487545e-08,1,-3.4402781068365584e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.460661801568676e-08,5.382408296839003e-09,-1|2.136691934495616e-09,1,5.382408296839003e-09|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.460661801568676e-08,3.84977631995298e-08,-1|1.5282333620803e-08,1,3.84977631995298e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.460661801568676e-08,7.818947977966673e-08,-1|3.103857793007592e-08,1,7.818947977966673e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.4606614462973084e-08,1.0156118435133976e-07,-1|4.0316340488288915e-08,1,1.015611772459124e-07|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.460661801568676e-08,5.3262919408325615e-08,-1|2.1143556239167083e-08,1,5.3262919408325615e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.460661801568676e-08,5.0162651810126135e-09,-1|1.9912467230653874e-09,1,5.0162651810126135e-09|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.460661801568676e-08,-4.3178832953572055e-08,-1|-1.7140608932209034e-08,1,-4.3178829400858376e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.4606614462973084e-08,-1.0094497326917917e-07,-1|-4.0071871154623295e-08,1,-1.0094497326917917e-07|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.4606614462973084e-08,-6.767657367845459e-08,-1|-2.6865388136343427e-08,1,-6.767657367845459e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.4606614462973084e-08,-2.7801419832940155e-08,-1|-1.1036223490634711e-08,1,-2.7801419832940155e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.460661801568676e-08,1.202260335730898e-08,-1|4.772658268592522e-09,1,1.202260335730898e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.460661801568676e-08,4.5170281737227924e-08,-1|1.793125292692821e-08,1,4.5170281737227924e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.460661801568676e-08,8.490075487088689e-08,-1|3.3703013713193286e-08,1,8.490074776545953e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.4606614462973084e-08,1.0168206188154727e-07,-1|4.0364682263316354e-08,1,1.0168206188154727e-07|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.460661801568676e-08,4.3661344761858345e-08,-1|1.7332210333620424e-08,1,4.3661341209144666e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.460661801568676e-08,-4.632417116567922e-09,-1|-1.8389705314092453e-09,1,-4.632416672478712e-09|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.460661801568676e-08,-6.251681838875811e-08,-1|-2.48173641637095e-08,1,-6.251681838875811e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.4606614462973084e-08,-8.773770332481945e-08,-1|-3.482930566178766e-08,1,-8.773770332481945e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.4606614462973084e-08,-5.444392670028719e-08,-1|-2.161263168432015e-08,1,-5.4443923147573514e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.4606614462973084e-08,-2.1185725174177605e-08,-1|-8.410072638298516e-09,1,-2.1185723397820766e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.460661801568676e-08,3.1953494072922695e-08,-1|1.2684700401166538e-08,1,3.1953494072922695e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.4606614462973084e-08,1.0487165269523757e-07,-1|4.1631185609958266e-08,1,1.0487165269523757e-07|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.4606614462973084e-08,5.338981523550501e-08,-1|2.1194290766857193e-08,1,5.338981523550501e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.4606614462973084e-08,-1.4302004913702149e-08,-1|-5.677547765259305e-09,1,-1.4302004913702149e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.4606614462973084e-08,-8.189257982849085e-08,-1|-3.2509220204701705e-08,1,-8.189257982849085e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.4606610910259406e-08,-4.11853875448287e-08,-1|-1.6349504861068453e-08,1,-4.11853875448287e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.4606614462973084e-08,1.2051285303016357e-08,-1|4.784103335708778e-09,1,1.2051285303016357e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.4606614462973084e-08,5.8558729421065436e-08,-1|2.3246391478437545e-08,1,5.855872586835176e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.4606614462973084e-08,9.173574255783024e-08,-1|3.64168464273007e-08,1,9.173573545240288e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.4606614462973084e-08,9.222613783776978e-08,-1|3.661152092604425e-08,1,9.222613783776978e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.4606614462973084e-08,3.4079526756158884e-08,-1|1.3528722142552851e-08,1,3.4079526756158884e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.4606614462973084e-08,-8.199013734611071e-08,-1|-3.254817926290343e-08,1,-8.199013734611071e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.4606610910259406e-08,-6.791873374822899e-08,-1|-2.69621391879582e-08,1,-6.791872664280163e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.4606610910259406e-08,-2.7900915355871803e-08,-1|-1.1075965922202613e-08,1,-2.7900913579514963e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.4606614462973084e-08,5.408069991830189e-09,-1|2.146959943161164e-09,1,5.408069991830189e-09|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.4606614462973084e-08,4.533186981348081e-08,-1|1.7995832379824606e-08,1,4.533186981348081e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.4606614462973084e-08,7.191929540795172e-08,-1|2.8550463326837416e-08,1,7.191929540795172e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.4606610910259406e-08,1.1175781367001036e-07,-1|4.436550327113764e-08,1,1.1175781367001036e-07|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.4606614462973084e-08,3.412010940451182e-08,-1|1.354492873417712e-08,1,3.412010940451182e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.4606614462973084e-08,-1.4336058562491871e-08,-1|-5.69118796533985e-09,1,-1.4336058562491871e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.4606614462973084e-08,-6.274044750398389e-08,-1|-2.4906762874365995e-08,1,-6.274044750398389e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.4606610910259406e-08,-9.473842510487884e-08,-1|-3.7609318326303764e-08,1,-9.473842510487884e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.4606610910259406e-08,-6.131840279977041e-08,-1|-2.4342199367310968e-08,1,-6.131840279977041e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.4606610910259406e-08,-2.1261522320514814e-08,-1|-8.440350640626093e-09,1,-2.1261522320514814e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.4606614462973084e-08,3.206777776654235e-08,-1|1.2730421161677441e-08,1,3.206777421382867e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.4606614462973084e-08,7.200493001846553e-08,-1|2.8584763001049396e-08,1,7.200492291303817e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.4606610910259406e-08,1.0216732704293463e-07,-1|4.0558706615456686e-08,1,1.0216732704293463e-07|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.4606610910259406e-08,4.386971852454735e-08,-1|1.7415514363960938e-08,1,4.386971852454735e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.4606610910259406e-08,-4.654519880631369e-09,-1|-1.8478223395845816e-09,1,-4.654519880631369e-09|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.4606610910259406e-08,-5.312690731784642e-08,-1|-2.1090587054573007e-08,1,-5.312690731784642e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.460660735754573e-08,-8.815641905357552e-08,-1|-3.4996741504755846e-08,1,-8.815641905357552e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.460660735754573e-08,-5.470374375704523e-08,-1|-2.1716525466786152e-08,1,-5.470374375704523e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.460660735754573e-08,-2.1286817641907874e-08,-1|-8.450491861822229e-09,1,-2.1286817641907874e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.4606610910259406e-08,1.8766360909694413e-08,-1|7.450047689872008e-09,1,1.8766360909694413e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.4606610910259406e-08,5.2104780934314476e-08,-1|2.0684931101300208e-08,1,5.21047773816008e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.4606610910259406e-08,8.540757789887721e-08,-1|3.390567826500046e-08,1,8.540757079344985e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.460660735754573e-08,1.1202418903621947e-07,-1|4.447210955049741e-08,1,1.1202418903621947e-07|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.4606610910259406e-08,5.3644640729544335e-08,-1|2.129618614787887e-08,1,5.3644637176830656e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.4606610910259406e-08,-4.660058117167409e-09,-1|-1.850039899053968e-09,1,-4.660058117167409e-09|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.4606610910259406e-08,-5.319019891203425e-08,-1|-2.11159019158913e-08,1,-5.319019891203425e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.460660735754573e-08,-1.016684834098669e-07,-1|-4.036118994577009e-08,1,-1.016684834098669e-07|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.460660735754573e-08,-6.146457565137098e-08,-1|-2.44006894689619e-08,1,-6.146457565137098e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.460660735754573e-08,-2.131220888657026e-08,-1|-8.460642852980982e-09,1,-2.131220888657026e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.4606610910259406e-08,1.2108769098517769e-08,-1|4.807124032168986e-09,1,1.2108769098517769e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.4606610910259406e-08,5.2166804209718975e-08,-1|2.070974147727611e-08,1,5.2166804209718975e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.4606610910259406e-08,8.550927077521919e-08,-1|3.3946356836622726e-08,1,8.550927077521919e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.460660735754573e-08,7.318320882632179e-08,-1|2.905301599298582e-08,1,7.318320882632179e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.460660735754573e-08,5.0582160682211e-09,-1|2.0080286322610164e-09,1,5.0582160682211e-09|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.460660735754573e-08,-5.3253533138786224e-08,-1|-2.1141209671782235e-08,1,-5.3253533138786224e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.460660380483205e-08,-1.0178953857575834e-07,-1|-4.0409581458789035e-08,1,-1.0178953857575834e-07|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.460660380483205e-08,-6.824279807915445e-08,-1|-2.7091797250022864e-08,1,-6.824279807915445e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.460660380483205e-08,-3.473190801628334e-08,-1|-1.3788237218648192e-08,1,-3.473190801628334e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.460660735754573e-08,-1.2568254215139518e-09,-1|-4.988836566077737e-10,1,-1.2568254215139518e-09|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.460660735754573e-08,3.886606236847001e-08,-1|1.5429607813643997e-08,1,3.886606236847001e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.460660735754573e-08,7.226250176017857e-08,-1|2.86877597233115e-08,1,7.226250176017857e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.460660380483205e-08,9.277655976802635e-08,-1|3.683169325086055e-08,1,9.277655976802635e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.460660380483205e-08,3.428292316698389e-08,-1|1.3610073956726865e-08,1,3.428292316698389e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.460660380483205e-08,-1.440448293976715e-08,-1|-5.718543416577404e-09,1,-1.440448293976715e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.460660380483205e-08,-6.303986310740584e-08,-1|-2.5026517747051003e-08,1,-6.303986310740584e-08|Running
-305.5828857421875,15.687385559082031,59.01620101928711|-3.460660025211837e-08,-9.519052923678828e-08,-1|-3.779015855798207e-08,1,-9.519052923678828e-08|Running
