Mt YNTKTS|true|13374
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9956718683242798,-6.423426412993649e-08,-0.0929386243224144|6.453763035096927e-08,1,2.586667269266485e-10|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9956718683242798,-1.0139509498685584e-07,-0.0929386243224144|1.0187419974272416e-07,1,4.107240103579102e-10|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9956718683242798,-1.0162948171910102e-07,-0.0929386243224144|1.0210978729219278e-07,1,4.126976260732107e-10|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9956718683242798,-6.498473226201895e-08,-0.0929386243224144|6.529192830839747e-08,1,2.6477794956569767e-10|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9956718683242798,-2.8371280436090274e-08,-0.0929386243224144|2.8505528604227948e-08,1,1.169839503045722e-10|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9956718683242798,8.210891522253405e-09,-0.0929386243224144|-8.249448235631007e-09,1,-3.0684448037998635e-11|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9956718683242798,4.4761812034721515e-08,-0.0929386243224144|-4.4973024415639884e-08,1,-1.7822748832330149e-10|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9956718683242798,8.128150597030981e-08,-0.0929386243224144|-8.166523457475705e-08,1,-3.2564517749023025e-10|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9956718683242798,1.1777000707979823e-07,-0.0929386243224144|-1.1832609914108616e-07,1,-4.72937800033435e-10|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9956718683242798,8.179319621604009e-08,-0.0929386243224144|-8.217944724719928e-08,1,-3.289075678480913e-10|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9956718683242798,4.5847116325603565e-08,-0.0929386243224144|-4.6063682646035886e-08,1,-1.8499927978421482e-10|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9956718683242798,9.931745204028175e-09,-0.0929386243224144|-9.97876448138868e-09,1,-4.121302257797943e-11|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9956718683242798,-2.5952946458573933e-08,-0.0929386243224144|2.6075326786667574e-08,1,1.0245108927886548e-10|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9956718683242798,-6.181081602107952e-08,-0.0929386243224144|6.210247249782697e-08,1,2.460087134004141e-10|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9956718683242798,-9.763805763896016e-08,-0.0929386243224144|9.809884460310059e-08,1,3.894454481123688e-10|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9961451292037964,-9.790927890662715e-08,-0.08772068470716476|9.835684977588244e-08,1,7.798966472627455e-10|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9965910911560059,-6.263444163323584e-08,-0.08249950408935547|6.292361831583548e-08,1,9.051624449973872e-10|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9968733191490173,-3.61896006495499e-08,-0.0790163055062294|3.6369108613598655e-08,1,8.326703770933364e-10|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.997009813785553,7.854326078415852e-09,-0.07727475464344025|-7.84615750148987e-09,1,4.093169692076515e-10|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.997009813785553,3.425807548751436e-08,-0.07727475464344025|-3.4351717914660185e-08,1,1.1743474248593344e-10|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.997009813785553,7.822668379731113e-08,-0.07727475464344025|-7.848986882663667e-08,1,-3.686213001508065e-10|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.997009813785553,1.1336772587355881e-07,-0.07727475464344025|-1.137664114025938e-07,1,-7.570940541157256e-10|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.997009813785553,8.740493484538092e-08,-0.07727475464344025|-8.771752391112386e-08,1,-6.50932585610775e-10|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.997009813785553,4.4170629820428076e-08,-0.07727475464344025|-4.43398526783767e-08,1,-4.74146166773437e-10|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.997009813785553,9.82546044525634e-10,-0.07727475464344025|-1.0085545731897128e-09,1,-2.975469315380508e-10|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.997009813785553,-2.490813955091653e-08,-0.07727475464344025|2.4967985012835925e-08,1,-1.916770492327302e-10|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.997009813785553,-5.9403213015229994e-08,-0.07727475464344025|5.957744875217941e-08,1,-5.062199964767089e-11|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.997009813785553,-9.38687847451547e-08,-0.07727475464344025|9.415730772843744e-08,1,9.031354136768144e-11|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.997009813785553,-1.1017146306357972e-07,-0.07727475464344025|1.1051681525486856e-07,1,1.926513115702022e-10|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.997009813785553,-7.208322472251893e-08,-0.07727475464344025|7.231332688206749e-08,1,1.7951461150911285e-10|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.997009813785553,-1.5011940135423174e-08,-0.07727475464344025|1.506935021211575e-08,1,1.598280119363693e-10|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.997009813785553,2.2994903758899454e-08,-0.07727475464344025|-2.305249680034649e-08,1,1.4671612535988032e-10|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.997009813785553,5.147870041355418e-08,-0.07727475464344025|-5.1622482288848914e-08,1,1.3688881972395706e-10|Running
