paralel|true|1828
-788.4934692382812,-217.06712341308594,-80.99016571044922|0.9629480242729187,-9.669513900689708e-08,-0.26968708634376526|1.1016269496622044e-07,1,3.48025857022094e-08|Running
-788.4934692382812,-217.06712341308594,-80.99016571044922|0.9629480242729187,6.4523888454459666e-09,-0.26968708634376526|-7.351072195405095e-09,1,-2.3223636347324828e-09|Running
-788.4934692382812,-217.06712341308594,-80.99016571044922|0.9629480242729187,9.641757259259975e-08,-0.26968708634376526|-1.0984648213252513e-07,1,-3.470272957883935e-08|Running
-788.4934692382812,-217.06712341308594,-80.99016571044922|0.9629480242729187,-2.4102506657186495e-08,-0.26968708634376526|2.7459476470426125e-08,1,8.675021589965581e-09|Running
-788.4934692382812,-217.06712341308594,-80.99016571044922|0.9629480242729187,-6.034743194049952e-08,-0.26968708634376526|6.875254854321611e-08,1,2.1720346410347702e-08|Running
-788.4934692382812,-217.06712341308594,-80.99016571044922|0.9629480242729187,4.5473598220269196e-08,-0.26968708634376526|-5.180710971330882e-08,1,-1.636695579065872e-08|Running
-788.4934692382812,-217.06712341308594,-80.99016571044922|0.9629480242729187,3.351373223381415e-08,-0.26968708634376526|-3.818148996970194e-08,1,-1.2062338683449525e-08|Running
-788.4934692382812,-217.06712341308594,-80.99016571044922|0.9629480242729187,-9.562432268239718e-08,-0.26968708634376526|1.0894277835404864e-07,1,3.4417318772739236e-08|Running
-788.4934692382812,-217.06712341308594,-80.99016571044922|0.9629480242729187,1.4983591256623185e-08,-0.26968708634376526|-1.7070489022330548e-08,1,-5.392928770220351e-09|Running
-788.4934692382812,-217.06712341308594,-80.99016571044922|0.9629480242729187,6.626253679087313e-08,-0.26968708634376526|-7.54915205902762e-08,1,-2.384937225485828e-08|Running
-788.4934692382812,-217.06712341308594,-80.99016571044922|0.9629480242729187,-5.9185577327980354e-08,-0.26968708634376526|6.742888558619597e-08,1,2.1302223984775992e-08|Running
-788.4934692382812,-217.06712341308594,-80.99016571044922|0.9629480242729187,-2.2802291610446446e-08,-0.26968708634376526|2.5978172502050256e-08,1,8.20705814419398e-09|Running
-788.4934692382812,-217.06712341308594,-80.99016571044922|0.9629480242729187,8.048118615988642e-08,-0.26968708634376526|-9.169053072355382e-08,1,-2.8967015452963096e-08|Running
-788.4934692382812,-217.06712341308594,-80.99016571044922|0.9629480242729187,-2.3797529280500385e-08,-0.26968708634376526|2.7112031730780473e-08,1,8.565287146211631e-09|Running
-788.4934692382812,-217.06712341308594,-80.99016571044922|0.9629480242729187,-1.0177287634860477e-07,-0.26968708634376526|1.1594772075795845e-07,1,3.663041781010179e-08|Running
-788.4934692382812,-217.06712341308594,-80.99016571044922|0.9629480242729187,-1.600034060800226e-08,-0.26968708634376526|1.822885309366029e-08,1,5.7588822599541345e-09|Running
-788.4934692382812,-217.06712341308594,-80.99016571044922|0.9629480242729187,8.851193911141308e-08,-0.26968708634376526|-1.0083982004971404e-07,1,-3.185753527645829e-08|Running
-788.4934692382812,-217.06712341308594,-80.99016571044922|0.9629480242729187,-1.813747907419838e-08,-0.26968708634376526|2.066365745179155e-08,1,6.528120710669327e-09|Running
-788.4934692382812,-217.06712341308594,-80.99016571044922|0.9629480242729187,-5.2060805444398284e-08,-0.26968708634376526|5.931180169227446e-08,1,1.8737921436695615e-08|Running
-788.4934692382812,-217.06712341308594,-80.99016571044922|0.9629480242729187,4.586895130387347e-08,-0.26968708634376526|-5.225756538607129e-08,1,-1.6509384082041834e-08|Running
-788.4934692382812,-217.06712341308594,-80.99016571044922|0.9629480242729187,3.538929860269491e-08,-0.26968708634376526|-4.031830513895329e-08,1,-1.273747329832986e-08|Running
-788.4934692382812,-217.06712341308594,-80.99016571044922|0.9629480242729187,-9.688722713008247e-08,-0.26968708634376526|1.1038166292109963e-07,1,3.4872169152322385e-08|Running
-788.4934692382812,-217.06712341308594,-80.99016571044922|0.9629480242729187,4.6496120842398625e-10,-0.26968708634376526|-5.297306482354713e-10,1,-1.6738618824341245e-10|Running
-788.4934692382812,-217.06712341308594,-80.99016571044922|0.9629480242729187,6.982411093758856e-08,-0.26968708634376526|-7.95492169913814e-08,1,-2.5131530634325827e-08|Running
-788.4934692382812,-217.06712341308594,-80.99016571044922|0.9629480242729187,3.833519279794473e-09,-0.26968708634376526|-4.367447292707993e-09,1,-1.3797674114357505e-09|Running
-788.4934692382812,-217.06712341308594,-80.99016571044922|0.9629480242729187,-8.86743762862352e-08,-0.26968708634376526|1.0102495906494369e-07,1,3.19162722917099e-08|Running
-788.4934692382812,-217.06712341308594,-80.99016571044922|0.9629480242729187,4.3048451914273755e-08,-0.26968708634376526|-4.904425310314764e-08,1,-1.5494299177021276e-08|Running
-788.4934692382812,-217.06712341308594,-80.99016571044922|0.9629480242729187,2.8034273569232937e-08,-0.26968708634376526|-3.1938895972416503e-08,1,-1.0090294821907264e-08|Running
-788.4934692382812,-217.06712341308594,-80.99016571044922|0.9629480242729187,-6.17470874431092e-08,-0.26968708634376526|7.034724092136457e-08,1,2.2224442730589544e-08|Running
-788.4934692382812,-217.06712341308594,-80.99016571044922|0.9629480242729187,-1.5799340502553605e-08,-0.26968708634376526|1.799987892070476e-08,1,5.686611626032345e-09|Running
-788.4934692382812,-217.06712341308594,-80.99016571044922|0.9629480242729187,8.517496752347142e-08,-0.26968708634376526|-9.703816772343998e-08,1,-3.0656778449156263e-08|Running
-788.4934692382812,-217.06712341308594,-80.99016571044922|0.9629480242729187,-2.8267901353018487e-09,-0.26968708634376526|3.2205107469707173e-09,1,1.0174550091335277e-09|Running
-788.4934692382812,-217.06712341308594,-80.99016571044922|0.9629480242729187,-9.241093579248627e-08,-0.26968708634376526|1.0528196980885696e-07,1,3.326124797808916e-08|Running
-788.4934692382812,-217.06712341308594,-80.99016571044922|0.9629480242729187,1.4285372884614844e-08,-0.26968708634376526|-1.627505064050183e-08,1,-5.141715053724738e-09|Running
-788.4934692382812,-217.06712341308594,-80.99016571044922|0.9629480242729187,5.762707289136415e-08,-0.26968708634376526|-6.565340271436071e-08,1,-2.0741595108120237e-08|Running
-788.4934692382812,-217.06712341308594,-80.99016571044922|0.9629480242729187,-5.7558583677064235e-08,-0.26968708634376526|6.557537801654689e-08,1,2.0716953486044076e-08|Running
-788.4934692382812,-217.06712341308594,-80.99016571044922|0.9629480242729187,-5.2388998028618516e-08,-0.26968708634376526|5.968576743953236e-08,1,1.8856276540191175e-08|Running
-788.4934692382812,-217.06712341308594,-80.99016571044922|0.9629480242729187,7.600952045550002e-08,-0.26968708634376526|-8.659616668182935e-08,1,-2.7357970111552277e-08|Running
-788.4934692382812,-217.06712341308594,-80.99016571044922|0.9629480242729187,6.5911596180967535e-09,-0.26968708634376526|-7.509178168163544e-09,1,-2.372338103739935e-09|Running
-788.4934692382812,-217.06712341308594,-80.99016571044922|0.9629480242729187,-6.825902687523921e-08,-0.26968708634376526|7.776618815569236e-08,1,2.4568368672817087e-08|Running
-788.4934692382812,-217.06712341308594,-80.99016571044922|0.9629480242729187,3.6873629483125114e-08,-0.26968708634376526|-4.20094181663444e-08,1,-1.3271883148036068e-08|Running
-788.4934692382812,-217.06712341308594,-80.99016571044922|0.9629480242729187,8.514302152207165e-08,-0.26968708634376526|-9.700180925165114e-08,1,-3.064542397623882e-08|Running
-788.4934692382812,-217.06712341308594,-80.99016571044922|0.9629480242729187,-5.2641205172676564e-08,-0.26968708634376526|5.997311092187374e-08,1,1.8947087454534994e-08|Running
-788.4934692382812,-217.06712341308594,-80.99016571044922|0.9629480242729187,-4.29795505851871e-08,-0.26968708634376526|4.8965777210696615e-08,1,1.546958650067154e-08|Running
-788.4934692382812,-217.06712341308594,-80.99016571044922|0.9629480242729187,7.912566957202216e-08,-0.26968708634376526|-9.01463579339179e-08,1,-2.8479611557941098e-08|Running
