Mount Anora|true|17490
-1665.3519287109375,739.9983520507812,1390.6185302734375|1,0,0|0,1,-7.332888518618574e-09|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|1,0,0|-0,1,2.1600056854254035e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|1,0,0|-0,1,5.050828377761718e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|1,0,0|-0,1,7.939181045912846e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|1,0,0|-0,1,1.082506599914268e-07|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|1,0,0|-0,1,1.0126060345783117e-07|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|1,0,0|-0,1,5.846758455163581e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|1,0,0|-0,1,1.570655960847489e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|1,0,0|0,1,-2.7017932779926923e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|1,0,0|0,1,-6.970591925892222e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|1,0,0|0,1,-1.0169797093340094e-07|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|1,0,0|0,1,-8.261174144763572e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|1,0,0|0,1,-5.289145477149759e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|1,0,0|0,1,-2.3196566445449207e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|1,0,0|-0,1,6.472949287683605e-09|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|1,0,0|-0,1,3.6117114632361336e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|1,0,0|-0,1,6.573594646397396e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|1,0,0|-0,1,9.532946876333881e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|1,0,0|-0,1,1.0753753088010853e-07|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|1,0,0|-0,1,6.767685079012153e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|1,0,0|-0,1,2.7850221684388998e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.9999985694885254,0,-0.0017089819302782416|-2.0437230033309994e-11,1,-1.1958699808189976e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.9999938011169434,0,-0.0035400171764194965|-1.8319840089375816e-10,1.0000001192092896,-5.175039063942677e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.9999862909317017,0,-0.005248951260000467|-4.804045494744003e-10,1.0000001192092896,-9.152265079137578e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.9999862909317017,0,-0.005248951260000467|-5.03434405274561e-10,1.0000001192092896,-9.59101171815746e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.9999862909317017,0,-0.005248951260000467|-3.409625359829249e-10,1.0000001192092896,-6.495733373412804e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.9999862909317017,0,-0.005248951260000467|-1.7862927803591333e-10,1.0000001192092896,-3.4030957607456e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.9999862909317017,0,-0.005248951260000467|-1.6434837865619834e-11,1.0000001192092896,-3.1310278814089543e-09|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.9999862909317017,0,-0.005248951260000467|1.4562108463511692e-10,1.0000001192092896,2.7742510511075125e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.9999862909317017,0,-0.005248951260000467|3.075386056927698e-10,1.0000001192092896,5.8589680662635146e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.9999862909317017,0,-0.005248951260000467|4.693178623504934e-10,1.0000001192092896,8.941051277133738e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.9999862909317017,0,-0.005248951260000467|6.309588962416512e-10,1.0000001192092896,1.2020501571896602e-07|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.9999862909317017,0,-0.005248951260000467|4.18536677537773e-10,1.0000001192092896,7.973610394174102e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.9999862909317017,0,-0.005248951260000467|2.0629575825381608e-10,1.0000001192092896,3.930174230504235e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.9999862909317017,0,-0.005248951260000467|-5.763914519285596e-12,1.0000001192092896,-1.098092727858102e-09|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.9999862909317017,0,-0.005248951260000467|-2.1764252899902914e-10,1.0000001192092896,-4.1463433575472664e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.9999862909317017,0,-0.005248951260000467|-4.293402022792492e-10,1.0000001192092896,-8.179430466270787e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.9999862909317017,0,-0.005248951260000467|-5.473687614276912e-10,1.0000001192092896,-1.0428011876228993e-07|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.9999862909317017,0,-0.005248951260000467|-3.849510987752325e-10,1.0000001192092896,-7.333766660622132e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.9999862909317017,0,-0.005248951260000467|-2.2267247767882026e-10,1.0000001192092896,-4.2421696377914486e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.9999758005142212,0,-0.006957839243113995|-8.015129532301657e-11,1,-1.1519287745898055e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.9999449253082275,0,-0.010497468523681164|2.034552387675248e-10,1,1.938029470238689e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.9999449253082275,0,-0.010497468523681164|5.275610504007489e-10,1,5.0253259331611844e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.9999449253082275,0,-0.010497468523681164|8.513900140449948e-10,1,8.109984861448538e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.9999449253082275,0,-0.010497468523681164|1.1749423656226554e-09,1,1.1192008742000326e-07|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.9999449253082275,0,-0.010497468523681164|9.39442523772982e-10,1,8.948735796820984e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.9999449253082275,0,-0.010497468523681164|5.17965004220855e-10,1,4.9339178076479584e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.9999449253082275,0,-0.010497468523681164|9.684761326234081e-11,1,9.225298747139732e-09|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.9999449253082275,0,-0.010497468523681164|-3.2390992665831675e-10,1,-3.085430577698389e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.9999449253082275,0,-0.010497468523681164|-7.443078930968738e-10,1,-7.089965237128126e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.9999449253082275,0,-0.010497468523681164|-1.1643467301425403e-09,1,-1.1091079699099282e-07|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.9999449253082275,0,-0.010497468523681164|-8.433020948217518e-10,1,-8.032942844238278e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.9999758005142212,0,-0.006957839243113995|-3.995981601168097e-10,1,-5.74299683364643e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.9999862909317017,0,-0.005248951260000467|-1.0135764449969997e-10,1.0000001192092896,-1.930981063935633e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.9999862909317017,0,-0.005248951260000467|5.856766460698992e-11,1.0000001192092896,1.1157821333540596e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.9999862909317017,0,-0.005248951260000467|2.183563885260753e-10,1.0000001192092896,4.1599431455097147e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.9999862909317017,0,-0.005248951260000467|3.78008541135344e-10,1.0000001192092896,7.201502683074068e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.9999862909317017,0,-0.005248951260000467|5.375243028460375e-10,1.0000001192092896,1.0240463410582379e-07|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.9999862909317017,0,-0.005248951260000467|5.136942538008782e-10,1.0000001192092896,9.786472787709499e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.9999862909317017,0,-0.005248951260000467|3.0675351148090613e-10,1.0000001192092896,5.8440111416757645e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.9999862909317017,0,-0.005248951260000467|9.998962768875685e-11,1.0000001192092896,1.9049187116593203e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.9999862909317017,0,-0.005248951260000467|-1.065975224756599e-10,1.0000001192092896,-2.0308068116037248e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.9999862909317017,0,-0.005248951260000467|-3.1300811942358564e-10,1.0000001192092896,-5.963168803191365e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.9999862909317017,0,-0.005248951260000467|-5.19242260299535e-10,1.0000001192092896,-9.892168861824757e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.9999862909317017,0,-0.005248951260000467|-4.528501462708334e-10,1.0000001192092896,-8.627322500842638e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.9999862909317017,0,-0.005248951260000467|-2.957369071854288e-10,1.0000001192092896,-5.63413209420105e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.9999862909317017,0,-0.005248951260000467|-1.3875789406370131e-10,1.0000001192092896,-2.643499463772514e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.9999862909317017,0,-0.005248951260000467|1.808694687077672e-11,1.0000001192092896,3.445773888444137e-09|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.9999862909317017,0,-0.005248951260000467|1.7479778735562945e-10,1.0000001192092896,3.3301009949582294e-08|Running
