age|true|1209
959.4217529296875,124.00719451904297,-951.7215576171875|-0.8213084936141968,-0,0.5704843401908875|0,1,0|Running
959.4217529296875,124.00719451904297,-951.7215576171875|-0.8213084936141968,-0,0.5704843401908875|0,1,0|Running
959.4217529296875,124.00719451904297,-951.7215576171875|-0.8213084936141968,-0,0.5704843401908875|0,1,0|Running
959.4217529296875,124.00719451904297,-951.7215576171875|-0.8213084936141968,-0,0.5704843401908875|0,1,0|Running
959.4217529296875,124.00719451904297,-951.7215576171875|-0.8213084936141968,-0,0.5704843401908875|0,1,0|Running
959.4217529296875,124.00719451904297,-951.7215576171875|-0.8213084936141968,-0,0.5704843401908875|0,1,0|Running
959.4217529296875,124.00719451904297,-951.7215576171875|-0.8213084936141968,-0,0.5704843401908875|0,1,0|Running
959.4217529296875,124.00719451904297,-951.7215576171875|-0.8213084936141968,-0,0.5704843401908875|0,1,0|Running
959.4217529296875,124.00719451904297,-951.7215576171875|-0.8213084936141968,-0,0.5704843401908875|0,1,0|Running
959.4217529296875,124.00719451904297,-951.7215576171875|-0.8213084936141968,-0,0.5704843401908875|0,1,0|Running
959.4217529296875,124.00719451904297,-951.7215576171875|-0.8213084936141968,-0,0.5704843401908875|0,1,0|Running
959.4217529296875,124.00719451904297,-951.7215576171875|-0.8213084936141968,-0,0.5704843401908875|0,1,0|Running
959.4217529296875,124.00719451904297,-951.7215576171875|-0.8213084936141968,-0,0.5704843401908875|0,1,0|Running
959.4217529296875,124.00719451904297,-951.7215576171875|-0.8213084936141968,-0,0.5704843401908875|0,1,0|Running
959.4217529296875,124.00719451904297,-951.7215576171875|-0.8213084936141968,-0,0.5704843401908875|0,1,0|Running
959.4217529296875,124.00719451904297,-951.7215576171875|-0.8213084936141968,-0,0.5704843401908875|0,1,0|Running
959.4217529296875,124.00719451904297,-951.7215576171875|-0.8213084936141968,-0,0.5704843401908875|0,1,0|Running
959.4217529296875,124.00719451904297,-951.7215576171875|-0.8213084936141968,-0,0.5704843401908875|0,1,0|Running
959.4217529296875,124.00719451904297,-951.7215576171875|-0.8213084936141968,-0,0.5704843401908875|0,1,0|Running
959.4217529296875,124.00719451904297,-951.7215576171875|-0.8213084936141968,-0,0.5704843401908875|0,1,0|Running
959.4217529296875,124.00719451904297,-951.7215576171875|-0.8213084936141968,-0,0.5704843401908875|0,1,0|Running
959.4217529296875,124.00719451904297,-951.7215576171875|-0.8213084936141968,-0,0.5704843401908875|0,1,0|Running
959.4217529296875,124.00719451904297,-951.7215576171875|-0.8213084936141968,-0,0.5704843401908875|0,1,0|Running
959.4217529296875,124.00719451904297,-951.7215576171875|-0.8213084936141968,-0,0.5704843401908875|0,1,0|Running
959.4217529296875,124.00719451904297,-951.7215576171875|-0.8213084936141968,-0,0.5704843401908875|0,1,0|Running
959.4217529296875,124.00719451904297,-951.7215576171875|-0.8213084936141968,-0,0.5704843401908875|0,1,0|Running
959.4217529296875,124.00719451904297,-951.7215576171875|-0.8213084936141968,-0,0.5704843401908875|0,1,0|Running
959.4217529296875,124.00719451904297,-951.7215576171875|-0.8213084936141968,-0,0.5704843401908875|0,1,0|Running
959.4217529296875,124.00719451904297,-951.7215576171875|-0.8213084936141968,-0,0.5704843401908875|0,1,0|Running
959.4217529296875,124.00719451904297,-951.7215576171875|-0.8213084936141968,-0,0.5704843401908875|0,1,0|Running
959.4217529296875,124.00719451904297,-951.7215576171875|-0.8213084936141968,-0,0.5704843401908875|0,1,0|Running
959.4217529296875,124.00719451904297,-951.7215576171875|-0.8213084936141968,-0,0.5704843401908875|0,1,0|Running
959.4217529296875,124.00719451904297,-951.7215576171875|-0.8213084936141968,-0,0.5704843401908875|0,1,0|Running
959.4217529296875,124.00719451904297,-951.7215576171875|-0.8213084936141968,-0,0.5704843401908875|0,1,0|Running
959.4217529296875,124.00719451904297,-951.7215576171875|-0.8213084936141968,-0,0.5704843401908875|0,1,0|Running
959.4217529296875,124.00719451904297,-951.7215576171875|-0.8213084936141968,-0,0.5704843401908875|0,1,0|Running
959.4217529296875,124.00719451904297,-951.7215576171875|-0.8213084936141968,-0,0.5704843401908875|0,1,0|Running
959.4217529296875,124.00719451904297,-951.7215576171875|-0.8213084936141968,-0,0.5704843401908875|0,1,0|Running
959.4217529296875,124.00719451904297,-951.7215576171875|-0.8213084936141968,-0,0.5704843401908875|0,1,0|Running
959.4217529296875,124.00719451904297,-951.7215576171875|-0.8213084936141968,-0,0.5704843401908875|0,1,0|Running
959.4217529296875,124.00719451904297,-951.7215576171875|-0.8213084936141968,-0,0.5704843401908875|0,1,0|Running
959.4217529296875,124.00719451904297,-951.7215576171875|-0.8213084936141968,-0,0.5704843401908875|0,1,0|Running
959.4217529296875,124.00719451904297,-951.7215576171875|-0.8213084936141968,-0,0.5704843401908875|0,1,0|Running
959.4217529296875,124.00719451904297,-951.7215576171875|-0.8213084936141968,-0,0.5704843401908875|0,1,0|Running
959.4217529296875,124.00719451904297,-951.7215576171875|-0.8213084936141968,-0,0.5704843401908875|0,1,0|Running
959.4217529296875,124.00719451904297,-951.7215576171875|-0.8213084936141968,-0,0.5704843401908875|0,1,0|Running
959.4217529296875,124.00719451904297,-951.7215576171875|-0.8213084936141968,-0,0.5704843401908875|0,1,0|Running
959.4217529296875,124.00719451904297,-951.7215576171875|-0.8213084936141968,-0,0.5704843401908875|0,1,0|Running
959.4217529296875,124.00719451904297,-951.7215576171875|-0.8213084936141968,-0,0.5704843401908875|0,1,0|Running
959.4217529296875,124.00719451904297,-951.7215576171875|-0.8213084936141968,-0,0.5704843401908875|0,1,0|Running
959.4217529296875,124.00719451904297,-951.7215576171875|-0.8213084936141968,-0,0.5704843401908875|0,1,0|Running
959.4217529296875,124.00719451904297,-951.7215576171875|-0.8213084936141968,-0,0.5704843401908875|0,1,0|Running
959.4217529296875,124.00719451904297,-951.7215576171875|-0.8213084936141968,-0,0.5704843401908875|0,1,0|Running
959.4217529296875,124.00719451904297,-951.7215576171875|-0.8213084936141968,-0,0.5704843401908875|0,1,0|Running
959.4217529296875,124.00719451904297,-951.7215576171875|-0.8213084936141968,-0,0.5704843401908875|0,1,0|Running
959.4217529296875,124.00719451904297,-951.7215576171875|-0.8213084936141968,-0,0.5704843401908875|0,1,0|Running
959.4217529296875,124.00719451904297,-951.7215576171875|-0.8213084936141968,-0,0.5704843401908875|0,1,0|Running
959.4217529296875,124.00719451904297,-951.7215576171875|-0.8213084936141968,-0,0.5704843401908875|0,1,0|Running
959.4217529296875,124.00719451904297,-951.7215576171875|-0.8213084936141968,-0,0.5704843401908875|0,1,0|Running
959.4217529296875,124.00719451904297,-951.7215576171875|-0.8213084936141968,-0,0.5704843401908875|0,1,0|Running
959.4217529296875,124.00719451904297,-951.7215576171875|-0.8213084936141968,-0,0.5704843401908875|0,1,0|Running
959.4217529296875,124.00719451904297,-951.7215576171875|-0.8213084936141968,-0,0.5704843401908875|0,1,0|Running
959.4217529296875,124.00719451904297,-951.7215576171875|-0.8213084936141968,-0,0.5704843401908875|0,1,0|Running
959.4217529296875,124.00719451904297,-951.7215576171875|-0.8213084936141968,-0,0.5704843401908875|0,1,0|Running
959.4217529296875,124.00719451904297,-951.7215576171875|-0.8213084936141968,-0,0.5704843401908875|0,1,0|Running
959.4217529296875,124.00719451904297,-951.7215576171875|-0.8213084936141968,-0,0.5704843401908875|0,1,0|Running
959.4217529296875,124.00719451904297,-951.7215576171875|-0.8213084936141968,-0,0.5704843401908875|0,1,0|Running
959.4217529296875,124.00719451904297,-951.7215576171875|-0.8213084936141968,-0,0.5704843401908875|0,1,0|Running
959.4217529296875,124.00719451904297,-951.7215576171875|-0.8213084936141968,-0,0.5704843401908875|0,1,0|Running
959.4217529296875,124.00719451904297,-951.7215576171875|-0.8213084936141968,-0,0.5704843401908875|0,1,0|Running
959.4217529296875,124.00719451904297,-951.7215576171875|-0.8213084936141968,-0,0.5704843401908875|0,1,0|Running
959.4217529296875,124.00719451904297,-951.7215576171875|-0.8213084936141968,-0,0.5704843401908875|0,1,0|Running
959.4217529296875,124.00719451904297,-951.7215576171875|-0.8213084936141968,-0,0.5704843401908875|0,1,0|Running
959.4217529296875,124.00719451904297,-951.7215576171875|-0.8213084936141968,-0,0.5704843401908875|0,1,0|Running
959.4217529296875,124.00719451904297,-951.7215576171875|-0.8213084936141968,-0,0.5704843401908875|0,1,0|Running
959.4217529296875,124.00719451904297,-951.7215576171875|-0.8213084936141968,-0,0.5704843401908875|0,1,0|Running
959.4217529296875,124.00719451904297,-951.7215576171875|-0.8213084936141968,-0,0.5704843401908875|0,1,0|Running
959.4217529296875,124.00719451904297,-951.7215576171875|-0.8213084936141968,-0,0.5704843401908875|0,1,0|Running
959.4217529296875,124.00719451904297,-951.7215576171875|-0.8213084936141968,-0,0.5704843401908875|0,1,0|Running
959.4217529296875,124.00719451904297,-951.7215576171875|-0.8213084936141968,-0,0.5704843401908875|0,1,0|Running
959.4217529296875,124.00719451904297,-951.7215576171875|-0.8213084936141968,-0,0.5704843401908875|0,1,0|Running
959.4217529296875,124.00719451904297,-951.7215576171875|-0.8213084936141968,-0,0.5704843401908875|0,1,0|Running
959.4217529296875,124.00719451904297,-951.7215576171875|-0.8213084936141968,-0,0.5704843401908875|0,1,0|Running
959.4217529296875,124.00719451904297,-951.7215576171875|-0.8213084936141968,-0,0.5704843401908875|0,1,0|Running
959.4217529296875,124.00719451904297,-951.7215576171875|-0.8213084936141968,-0,0.5704843401908875|0,1,0|Running
959.4217529296875,124.00719451904297,-951.7215576171875|-0.8213084936141968,-0,0.5704843401908875|0,1,0|Running
959.4217529296875,124.00719451904297,-951.7215576171875|-0.8213084936141968,-0,0.5704843401908875|0,1,0|Running
959.4217529296875,124.00719451904297,-951.7215576171875|-0.8213084936141968,-0,0.5704843401908875|0,1,0|Running
959.4217529296875,124.00719451904297,-951.7215576171875|-0.8213084936141968,-0,0.5704843401908875|0,1,0|Running
959.4217529296875,124.00719451904297,-951.7215576171875|-0.8213084936141968,-0,0.5704843401908875|0,1,0|Running
959.4217529296875,124.00719451904297,-951.7215576171875|-0.8213084936141968,-0,0.5704843401908875|0,1,0|Running
959.4217529296875,124.00719451904297,-951.7215576171875|-0.8213084936141968,-0,0.5704843401908875|0,1,0|Running
959.4217529296875,124.00719451904297,-951.7215576171875|-0.8213084936141968,-0,0.5704843401908875|0,1,0|Running
959.4217529296875,124.00719451904297,-951.7215576171875|-0.8213084936141968,-0,0.5704843401908875|0,1,0|Running
959.4217529296875,124.00719451904297,-951.7215576171875|-0.8213084936141968,-0,0.5704843401908875|0,1,0|Running
959.4217529296875,124.00719451904297,-951.7215576171875|-0.8213084936141968,-0,0.5704843401908875|0,1,0|Running
959.4217529296875,124.00719451904297,-951.7215576171875|-0.8213084936141968,-0,0.5704843401908875|0,1,0|Running
959.4217529296875,124.00719451904297,-951.7215576171875|-0.8213084936141968,-0,0.5704843401908875|0,1,0|Running
959.4217529296875,124.00719451904297,-951.7215576171875|-0.8213084936141968,-0,0.5704843401908875|0,1,0|Running
959.4217529296875,124.00719451904297,-951.7215576171875|-0.8213084936141968,-0,0.5704843401908875|0,1,0|Running
959.4217529296875,124.00719451904297,-951.7215576171875|-0.8213084936141968,-0,0.5704843401908875|0,1,0|Running
959.4217529296875,124.00719451904297,-951.7215576171875|-0.8213084936141968,-0,0.5704843401908875|0,1,0|Running
959.4217529296875,124.00719451904297,-951.7215576171875|-0.8213084936141968,-0,0.5704843401908875|0,1,0|Running
