kayu|true|2268
-309.7901306152344,95.80719757080078,1592.649658203125|0.9363484382629395,5.972675864995836e-08,0.3510720431804657|-4.791262853132139e-08,1,-4.2338442085565475e-08|Running
-309.7901306152344,95.80719757080078,1592.649658203125|0.9363484382629395,-2.6097113803302818e-08,0.3510720431804657|2.0935045697001442e-08,1,1.8499381582159913e-08|Running
-309.7901306152344,95.80719757080078,1592.649658203125|0.9363484382629395,-9.285911772849431e-08,0.3510720431804657|7.449134642456556e-08,1,6.58248424656449e-08|Running
-309.7901306152344,95.80719757080078,1592.649658203125|0.9363484382629395,5.7586664325981474e-08,0.3510720431804657|-4.6195875569310374e-08,1,-4.08213267633073e-08|Running
-309.7901306152344,95.80719757080078,1592.649658203125|0.9363484382629395,3.0215286273005404e-08,0.3510720431804657|-2.423862355271922e-08,1,-2.1418648188387124e-08|Running
-309.7901306152344,95.80719757080078,1592.649658203125|0.9363484382629395,-6.993607115646228e-08,0.3510720431804657|5.610253950294464e-08,1,4.9575412219837744e-08|Running
-309.7901306152344,95.80719757080078,1592.649658203125|0.9363484382629395,-8.10454139354988e-08,0.3510720431804657|6.501442584294637e-08,1,5.7450478152532014e-08|Running
-309.7901306152344,95.80719757080078,1592.649658203125|0.9363484382629395,5.473827613400317e-08,0.3510720431804657|-4.3910937108648795e-08,1,-3.880211707496528e-08|Running
-309.7901306152344,95.80719757080078,1592.649658203125|0.9363484382629395,4.8287095211208e-08,0.3510720431804657|-3.8735795016009433e-08,1,-3.4229131529173173e-08|Running
-309.7901306152344,95.80719757080078,1592.649658203125|0.9363484382629395,-6.435747934574465e-08,0.3510720431804657|5.1627456087999235e-08,1,4.562081556969133e-08|Running
-309.7901306152344,95.80719757080078,1592.649658203125|0.9363484382629395,-5.8568506489109495e-08,0.3510720431804657|4.6983544166323554e-08,1,4.151723231871074e-08|Running
-309.7901306152344,95.80719757080078,1592.649658203125|0.9363484382629395,4.91482126108167e-08,0.3510720431804657|-3.942662019085219e-08,1,-3.483945221205431e-08|Running
-309.7901306152344,95.80719757080078,1592.649658203125|0.9363484382629395,5.920886181343121e-08,0.3510720431804657|-4.7497245247996034e-08,1,-4.197112701831429e-08|Running
-309.7901306152344,95.80719757080078,1592.649658203125|0.9363484382629395,-2.801148468734027e-08,0.3510720431804657|2.2470782568007053e-08,1,1.9856331689993567e-08|Running
-309.7901306152344,95.80719757080078,1592.649658203125|0.9363484382629395,-1.150083335232921e-07,0.3510720431804657|9.225951913549579e-08,1,8.152535002636796e-08|Running
-309.7901306152344,95.80719757080078,1592.649658203125|0.9363484382629395,4.0843225690423424e-08,0.3510720431804657|-3.276439741739523e-08,1,-2.8952275243909753e-08|Running
-309.7901306152344,95.80719757080078,1592.649658203125|0.9363484382629395,4.861640690023705e-08,0.3510720431804657|-3.9000017437729184e-08,1,-3.446244534188736e-08|Running
-309.7901306152344,95.80719757080078,1592.649658203125|0.9363484382629395,-7.351359698759552e-08,0.3510720431804657|5.897254595765844e-08,1,5.2111090553808026e-08|Running
-309.7901306152344,95.80719757080078,1592.649658203125|0.9363484382629395,-2.748738836544362e-08,0.3510720431804657|2.2050340220403086e-08,1,1.948484928959715e-08|Running
-309.7901306152344,95.80719757080078,1592.649658203125|0.9363484382629395,6.930876139676911e-08,0.3510720431804657|-5.559946814059913e-08,1,-4.9130335355584975e-08|Running
-309.7901306152344,95.80719757080078,1592.649658203125|0.9363484382629395,4.0843278981128606e-08,0.3510720431804657|-3.2764447155386733e-08,1,-2.8952291231121308e-08|Running
-309.7901306152344,95.80719757080078,1592.649658203125|0.9363484382629395,-9.318949878434069e-08,0.3510720431804657|7.475661334410688e-08,1,6.605841917917132e-08|Running
-309.7901306152344,95.80719757080078,1592.649658203125|0.9363484382629395,6.291134280189681e-10,0.3510720431804657|-5.046906781380756e-10,1,-4.459115854338336e-10|Running
-309.7901306152344,95.80719757080078,1592.649658203125|0.9363484382629395,9.506910458867424e-08,0.3510720431804657|-7.626444897823603e-08,1,-6.739073654671301e-08|Running
-309.7901306152344,95.80719757080078,1592.649658203125|0.9363484382629395,-4.989865587390341e-08,0.3510720431804657|4.002872699970794e-08,1,3.537114423579624e-08|Running
-309.7901306152344,95.80719757080078,1592.649658203125|0.9363484382629395,-4.5064481923873245e-08,0.3510720431804657|3.6150737514617504e-08,1,3.1944431100328075e-08|Running
-309.7901306152344,95.80719757080078,1592.649658203125|0.9363484382629395,2.863024839427908e-08,0.3510720431804657|-2.296722456662792e-08,1,-2.02947614269533e-08|Running
-309.7901306152344,95.80719757080078,1592.649658203125|0.9363484382629395,1.1685618517276453e-07,0.3510720431804657|-9.37421233970781e-08,1,-8.283452501700594e-08|Running
-309.7901306152344,95.80719757080078,1592.649658203125|0.9363484382629395,-2.059455939118493e-09,0.3510720431804657|1.6521074508446532e-09,1,1.459836473927112e-09|Running
-309.7901306152344,95.80719757080078,1592.649658203125|0.9363484382629395,-7.489808950822407e-08,0.3510720431804657|6.008158237591488e-08,1,5.309677675313651e-08|Running
-309.8061828613281,95.80719757080078,1592.65283203125|0.9374725222587585,-0.000003645320248324424,0.3480592668056488|0.000004408326276461594,1,-0.0000014002336001794902|Running
-309.80694580078125,95.80719757080078,1592.6529541015625|0.9375246167182922,-7.416980452035205e-08,0.34791889786720276|9.55755012910231e-08,1,-4.4362582940493667e-08|Running
-309.80694580078125,95.80719757080078,1592.6529541015625|0.9375246167182922,-6.838349264626231e-08,0.34791889786720276|7.49792974374941e-08,1,-5.493935084643908e-09|Running
-309.80694580078125,95.80719757080078,1592.6529541015625|0.9375246167182922,-6.26144540660789e-08,0.34791889786720276|5.444462303216824e-08,1,3.325855146840695e-08|Running
-309.80694580078125,95.80719757080078,1592.6529541015625|0.9375246167182922,-5.604236719136679e-08,0.34791889786720276|3.105154888771722e-08,1,7.740531771105452e-08|Running
-309.80694580078125,95.80719757080078,1592.6529541015625|0.9375246167182922,-4.949270504539527e-08,0.34791889786720276|7.73834418765773e-09,1,1.2140132810145587e-07|Running
-309.80694580078125,95.80719757080078,1592.6529541015625|0.9375246167182922,1.2455799058841421e-08,0.34791889786720276|-8.251863192754172e-09,1,-1.3564867451520968e-08|Running
-309.80694580078125,95.80719757080078,1592.6529541015625|0.9375246167182922,2.9034342929890045e-08,0.34791889786720276|-3.737981479901009e-09,1,-7.337886387404069e-08|Running
-309.80694580078125,95.80719757080078,1592.6529541015625|0.9375246167182922,5.255997859165973e-09,0.34791889786720276|7.324980622058774e-09,1,-3.484532484776537e-08|Running
-309.80694580078125,95.80719757080078,1592.6529541015625|0.9375246167182922,-2.321098158120094e-08,0.34791889786720276|2.056935599625831e-08,1,1.128626436752711e-08|Running
-309.80694580078125,95.80719757080078,1592.6529541015625|0.9375246167182922,-4.687773369482784e-08,0.34791889786720276|3.158041295137082e-08,1,4.963892052955998e-08|Running
-309.80694580078125,95.80719757080078,1592.6529541015625|0.9375246167182922,-7.992630202124928e-08,0.34791889786720276|4.69564049865312e-08,1,1.031950631613654e-07|Running
-309.80694580078125,95.80719757080078,1592.6529541015625|0.9375246167182922,-5.3834789071061095e-08,0.34791889786720276|3.0068758150036956e-08,1,7.370852017629659e-08|Running
-309.80694580078125,95.80719757080078,1592.6529541015625|0.9375246167182922,4.657715635403292e-08,0.34791889786720276|-2.8501753845944222e-08,1,-5.7070941750225757e-08|Running
-309.80694580078125,95.80719757080078,1592.6529541015625|0.9375246167182922,5.854677809224995e-08,0.34791889786720276|-3.45119595124288e-08,1,-7.527894041459149e-08|Running
-309.80694580078125,95.80719757080078,1592.6529541015625|0.9375246167182922,2.3847663843667988e-09,0.34791889786720276|1.871575255885105e-10,1,-7.3587007598518994e-09|Running
-309.80694580078125,95.80719757080078,1592.6529541015625|0.9375246167182922,-7.227414755561767e-08,0.34791889786720276|4.631441541391723e-08,1,8.293093145539387e-08|Running
