Mt Forever|true|20028
7.249056339263916,80.00591278076172,-95.19989013671875|-0.7714293003082275,0,0.6363149881362915|6.89854839919235e-10,1,8.363377212994294e-10|Running
7.249056339263916,80.00591278076172,-95.19989013671875|-0.7714293003082275,0,0.6363149881362915|-7.22340320891135e-09,1,-8.757211844567792e-09|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.7703148126602173,0,0.637663722038269|-1.511798508602169e-08,1,-1.8262928946910506e-08|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.7658422589302063,0,0.6430284976959229|-1.9638504156205272e-08,1,-2.338931537337885e-08|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.7613319754600525,0,0.6483623385429382|-1.4163799022526291e-08,1.0000001192092896,-1.6631677368650344e-08|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.7567798495292664,0,0.6536697745323181|-8.723850974945435e-09,1,-1.0099953762221503e-08|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.7521981000900269,0,0.6589370965957642|-3.3229512474974854e-09,1.0000001192092896,-3.793256819761837e-09|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.7498911619186401,0,0.6615612506866455|2.089760808843266e-09,1,2.3687800609906162e-09|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.7498911619186401,0,0.6615612506866455|7.511063770948567e-09,1,8.513921123665114e-09|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.7498911619186401,0,0.6615612506866455|1.2927737991219601e-08,1,1.4653815050280627e-08|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.7498911619186401,0,0.6615612506866455|1.8339786578280837e-08,1,2.078846605968465e-08|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.7498911619186401,0,0.6615612506866455|2.3747208643953854e-08,1,2.6917872375520346e-08|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.7498911619186401,0,0.6615612506866455|1.535827642840104e-08,1,1.740887256573842e-08|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.7498911619186401,0,0.6615612506866455|6.97650426317864e-09,1,7.907988930355714e-09|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.7498911619186401,0,0.6615612506866455|-1.3981023005982252e-09,1,-1.5847733125795571e-09|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.7498911619186401,0,0.6615612506866455|-9.765556363561245e-09,1,-1.10694280408552e-08|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.7498911619186401,0,0.6615612506866455|-2.021482714553713e-08,1,-2.2913857478101818e-08|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.7498911619186401,0,0.6615612506866455|-1.649997471986353e-08,1,-1.8703007143017203e-08|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.7498911619186401,0,0.6615612506866455|-1.0313842224718428e-08,1,-1.1690919343720907e-08|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.7498911619186401,0,0.6615612506866455|-5.369690914136527e-09,1,-6.086637860391875e-09|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.7498911619186401,0,0.6615612506866455|-1.6643493250256824e-09,1,-1.8865689010993947e-09|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.7498911619186401,0,0.6615612506866455|3.272414561550363e-09,1,3.7093386140441e-09|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.7498911619186401,0,0.6615612506866455|8.204961154945067e-09,1,9.300465286798953e-09|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.7498911619186401,0,0.6615612506866455|1.313329445196132e-08,1,1.48868171123695e-08|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.7498911619186401,0,0.6615612506866455|1.805742400051713e-08,1,2.0468403860718354e-08|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.7498911619186401,0,0.6615612506866455|2.2977340918828304e-08,1,2.604521398552606e-08|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.7498911619186401,0,0.6615612506866455|1.4678441573323653e-08,1,1.6638269428881358e-08|Running
