pargoy|true|979
-743.527099609375,39.708526611328125,-761.106689453125|0.02865230105817318,1.2415188876957473e-08,-0.9995894432067871|7.747730990104174e-08,1,1.464110344073788e-08|Running
-743.5271606445312,39.708526611328125,-761.106689453125|0.02865230105817318,-4.0831849013045485e-09,-0.9995894432067871|-2.5481142529315548e-08,1,-4.8152548615121304e-09|Running
-743.5271606445312,39.708526611328125,-761.106689453125|0.02865230105817318,-1.2321798692482844e-08,-0.9995894432067871|-7.689438774605151e-08,1,-1.4530965763981385e-08|Running
-743.5271606445312,39.708526611328125,-761.106689453125|0.02865230105817318,-1.3247483998668486e-08,-0.9995894432067871|-8.267118545290941e-08,1,-1.562261786602903e-08|Running
-743.5271606445312,39.708526611328125,-761.106689453125|0.02865230105817318,-8.466124690187371e-09,-0.9995894432067871|-5.283305526404547e-08,1,-9.984012727670688e-09|Running
-743.5271606445312,39.708526611328125,-761.106689453125|0.02865230105817318,-5.281957093927758e-09,-0.9995894432067871|-3.296221606774452e-08,1,-6.228957794007783e-09|Running
-743.527099609375,39.708526611328125,-761.106689453125|0.02865230105817318,-5.108059530911646e-10,-0.9995894432067871|-3.187795361014878e-09,1,-6.023909704389041e-10|Running
-743.527099609375,39.708526611328125,-761.106689453125|0.02865230105817318,2.6665640806555757e-09,-0.9995894432067871|1.6640617772623045e-08,1,3.144647209296636e-09|Running
-743.527099609375,39.708526611328125,-761.106689453125|0.02865230105817318,7.427528814218931e-09,-0.9995894432067871|4.63514737703008e-08,1,8.75920136422792e-09|Running
-743.527099609375,39.708526611328125,-761.106689453125|0.02865230105817318,1.059811527426291e-08,-0.9995894432067871|6.613755942908028e-08,1,1.2498239776448372e-08|Running
-743.527099609375,39.708526611328125,-761.106689453125|0.02865230105817318,1.53489150278574e-08,-0.9995894432067871|9.57849835003799e-08,1,1.8100806187248963e-08|Running
-743.527099609375,39.708526611328125,-761.106689453125|0.02865230105817318,1.8512732680164845e-08,-0.9995894432067871|1.1552882028809108e-07,1,2.183186254001157e-08|Running
-743.527099609375,39.708526611328125,-761.106689453125|0.02865230105817318,1.6131272317920775e-08,-0.9995894432067871|1.0066730737889884e-07,1,1.9023431718778738e-08|Running
-743.527099609375,39.708526611328125,-761.106689453125|0.02865230105817318,4.254362639954934e-09,-0.9995894432067871|2.6549390241825677e-08,1,5.017123605455254e-09|Running
-743.5271606445312,39.708526611328125,-761.106689453125|0.02865230105817318,-7.607325436254087e-09,-0.9995894432067871|-4.747354154233108e-08,1,-8.971234422006091e-09|Running
-743.5271606445312,39.708526611328125,-761.106689453125|0.02865230105817318,-1.550666972605086e-08,-0.9995894432067871|-9.676945467163023e-08,1,-1.828684581539619e-08|Running
-743.5271606445312,39.708526611328125,-761.106689453125|0.02865230105817318,-1.702626661881368e-08,-0.9995894432067871|-1.0625250013163168e-07,1,-2.0078889662045185e-08|Running
-743.5271606445312,39.708526611328125,-761.106689453125|0.02865230105817318,-1.2174289132360627e-08,-0.9995894432067871|-7.597370910161771e-08,1,-1.4357005362342079e-08|Running
-743.5271606445312,39.708526611328125,-761.106689453125|0.02865230105817318,-4.904095796121055e-09,-0.9995894432067871|-3.0604024203739755e-08,1,-5.783345802257145e-09|Running
-743.527099609375,39.708526611328125,-761.106689453125|0.02865230105817318,2.3567801044066528e-09,-0.9995894432067871|1.4707514317535697e-08,1,2.7793252144192593e-09|Running
-743.527099609375,39.708526611328125,-761.106689453125|0.02865230105817318,9.608350559631162e-09,-0.9995894432067871|5.996098906280167e-08,1,1.1331023230809478e-08|Running
-743.527099609375,39.708526611328125,-761.106689453125|0.02865230105817318,1.4437567585900979e-08,-0.9995894432067871|9.009774259993719e-08,1,1.7026065890490827e-08|Running
