yareu|true|1270
-814.0460815429688,40.0072021484375,-237.15818786621094|-0,-0,-1|0,1,0|Running
-814.0460815429688,40.0072021484375,-237.15818786621094|-0,-0,-1|0,1,0|Running
-814.0460815429688,40.0072021484375,-237.15818786621094|-0,-0,-1|0,1,0|Running
-814.0460815429688,40.0072021484375,-237.15818786621094|-0,-0,-1|0,1,0|Running
-814.0460815429688,40.0072021484375,-237.15818786621094|-0,-0,-1|0,1,0|Running
-814.0460815429688,40.0072021484375,-237.15818786621094|-0,-0,-1|0,1,0|Running
-814.0460815429688,40.0072021484375,-237.15818786621094|-0,-0,-1|0,1,0|Running
-814.0460815429688,40.0072021484375,-237.15818786621094|-0,-0,-1|0,1,0|Running
-814.0460815429688,40.0072021484375,-237.15818786621094|-0,-0,-1|0,1,0|Running
-814.0460815429688,40.0072021484375,-237.15818786621094|-0,-0,-1|0,1,0|Running
-814.0460815429688,40.0072021484375,-237.15818786621094|-0,-0,-1|0,1,0|Running
-814.0460815429688,40.0072021484375,-237.15818786621094|-0,-0,-1|0,1,0|Running
-814.0460815429688,40.0072021484375,-237.15818786621094|-0,-0,-1|0,1,0|Running
-814.0460815429688,40.0072021484375,-237.15818786621094|-0,-0,-1|0,1,0|Running
-814.0460815429688,40.0072021484375,-237.15818786621094|-0,-0,-1|0,1,0|Running
-814.0460815429688,40.0072021484375,-237.15818786621094|-0,-0,-1|0,1,0|Running
-814.0460815429688,40.0072021484375,-237.15818786621094|-0,-0,-1|0,1,0|Running
-814.0460815429688,40.0072021484375,-237.15818786621094|-0,-0,-1|0,1,0|Running
-814.0460815429688,40.0072021484375,-237.15818786621094|-0,-0,-1|0,1,0|Running
-814.0460815429688,40.0072021484375,-237.15818786621094|-0,-0,-1|0,1,0|Running
-814.0460815429688,40.0072021484375,-237.15818786621094|-0,-0,-1|0,1,0|Running
-814.0460815429688,40.0072021484375,-237.15818786621094|-0,-0,-1|0,1,0|Running
-814.0460815429688,40.0072021484375,-237.15818786621094|-0,-0,-1|0,1,0|Running
-814.0460815429688,40.0072021484375,-237.15818786621094|-0,-0,-1|0,1,0|Running
-814.0460815429688,40.0072021484375,-237.15818786621094|-0,-0,-1|0,1,0|Running
-814.0460815429688,40.0072021484375,-237.15818786621094|-0,-0,-1|0,1,0|Running
-814.0460815429688,40.0072021484375,-237.15818786621094|-0,-0,-1|0,1,0|Running
-814.0460815429688,40.0072021484375,-237.15818786621094|-0,-0,-1|0,1,0|Running
-814.0460815429688,40.0072021484375,-237.15818786621094|-0,-0,-1|0,1,0|Running
-814.0460815429688,40.0072021484375,-237.15818786621094|-0,-0,-1|0,1,0|Running
-814.0460815429688,40.0072021484375,-237.15818786621094|-0,-0,-1|0,1,0|Running
-814.0460815429688,40.0072021484375,-237.15818786621094|-0,-0,-1|0,1,0|Running
-814.0460815429688,40.0072021484375,-237.15818786621094|-0,-0,-1|0,1,0|Running
-814.0460815429688,40.0072021484375,-237.15818786621094|-0,-0,-1|0,1,0|Running
-814.0460815429688,40.0072021484375,-237.15818786621094|-0,-0,-1|0,1,0|Running
-814.0460815429688,40.0072021484375,-237.15818786621094|-0,-0,-1|0,1,0|Running
-814.0460815429688,40.0072021484375,-237.15818786621094|-0,-0,-1|0,1,0|Running
-814.0460815429688,40.0072021484375,-237.15818786621094|-0,-0,-1|0,1,0|Running
-814.0460815429688,40.0072021484375,-237.15818786621094|-0,-0,-1|0,1,0|Running
-814.0460815429688,40.0072021484375,-237.15818786621094|-0,-0,-1|0,1,0|Running
-814.0460815429688,40.0072021484375,-237.15818786621094|-0,-0,-1|0,1,0|Running
-814.0460815429688,40.0072021484375,-237.15818786621094|-0,-0,-1|0,1,0|Running
-814.0460815429688,40.0072021484375,-237.15818786621094|-0,-0,-1|0,1,0|Running
-814.0460815429688,40.0072021484375,-237.15818786621094|-0,-0,-1|0,1,0|Running
-814.0460815429688,40.0072021484375,-237.15818786621094|-0,-0,-1|0,1,0|Running
-814.0460815429688,40.0072021484375,-237.15818786621094|-0,-0,-1|0,1,0|Running
-814.0460815429688,40.0072021484375,-237.15818786621094|-0,-0,-1|0,1,0|Running
-814.0460815429688,40.0072021484375,-237.15818786621094|-0,-0,-1|0,1,0|Running
-814.0460815429688,40.0072021484375,-237.15818786621094|-0,-0,-1|0,1,0|Running
-814.0460815429688,40.0072021484375,-237.15818786621094|-0,-0,-1|0,1,0|Running
-814.0460815429688,40.0072021484375,-237.15818786621094|-0,-0,-1|0,1,0|Running
-814.0460815429688,40.0072021484375,-237.15818786621094|-0,-0,-1|0,1,0|Running
-814.0460815429688,40.0072021484375,-237.15818786621094|-0,-0,-1|0,1,0|Running
-814.0460815429688,40.0072021484375,-237.15818786621094|-0,-0,-1|0,1,0|Running
-814.0460815429688,40.0072021484375,-237.15818786621094|-0,-0,-1|0,1,0|Running
-814.0460815429688,40.0072021484375,-237.15818786621094|-0,-0,-1|0,1,0|Running
-814.0460815429688,40.0072021484375,-237.15818786621094|-0,-0,-1|0,1,0|Running
-814.0460815429688,40.0072021484375,-237.15818786621094|-0,-0,-1|0,1,0|Running
-814.0460815429688,40.0072021484375,-237.15818786621094|-0,-0,-1|0,1,0|Running
-814.0460815429688,40.0072021484375,-237.15818786621094|-0,-0,-1|0,1,0|Running
-814.0460815429688,40.0072021484375,-237.15818786621094|-0,-0,-1|0,1,0|Running
-814.0460815429688,40.0072021484375,-237.15818786621094|-0,-0,-1|0,1,0|Running
-814.0460815429688,40.0072021484375,-237.15818786621094|-0,-0,-1|0,1,0|Running
-814.0460815429688,40.0072021484375,-237.15818786621094|-0,-0,-1|0,1,0|Running
-814.0460815429688,40.0072021484375,-237.15818786621094|-0,-0,-1|0,1,0|Running
-814.0460815429688,40.0072021484375,-237.15818786621094|-0,-0,-1|0,1,0|Running
-814.0460815429688,40.0072021484375,-237.15818786621094|-0,-0,-1|0,1,0|Running
-814.0460815429688,40.0072021484375,-237.15818786621094|-0,-0,-1|0,1,0|Running
-814.0460815429688,40.0072021484375,-237.15818786621094|-0,-0,-1|0,1,0|Running
-814.0460815429688,40.0072021484375,-237.15818786621094|-0,-0,-1|0,1,0|Running
-814.0460815429688,40.0072021484375,-237.15818786621094|-0,-0,-1|0,1,0|Running
-814.0460815429688,40.0072021484375,-237.15818786621094|-0,-0,-1|0,1,0|Running
-814.0460815429688,40.0072021484375,-237.15818786621094|-0,-0,-1|0,1,0|Running
-814.0460815429688,40.0072021484375,-237.15818786621094|-0,-0,-1|0,1,0|Running
-814.0460815429688,40.0072021484375,-237.15818786621094|-0,-0,-1|0,1,0|Running
-814.0460815429688,40.0072021484375,-237.15818786621094|-0,-0,-1|0,1,0|Running
-814.0460815429688,40.0072021484375,-237.15818786621094|-0,-0,-1|0,1,0|Running
-814.0460815429688,40.0072021484375,-237.15818786621094|-0,-0,-1|0,1,0|Running
-814.0460815429688,40.0072021484375,-237.15818786621094|-0,-0,-1|0,1,0|Running
-814.0460815429688,40.0072021484375,-237.15818786621094|-0,-0,-1|0,1,0|Running
-814.0460815429688,40.0072021484375,-237.15818786621094|-0,-0,-1|0,1,0|Running
-814.0460815429688,40.0072021484375,-237.15818786621094|-0,-0,-1|0,1,0|Running
-814.0460815429688,40.0072021484375,-237.15818786621094|-0,-0,-1|0,1,0|Running
-814.0460815429688,40.0072021484375,-237.15818786621094|-0,-0,-1|0,1,0|Running
-814.0460815429688,40.0072021484375,-237.15818786621094|-0,-0,-1|0,1,0|Running
-814.0460815429688,40.0072021484375,-237.15818786621094|-0,-0,-1|0,1,0|Running
-814.0460815429688,40.0072021484375,-237.15818786621094|-0,-0,-1|0,1,0|Running
-814.0460815429688,40.0072021484375,-237.15818786621094|-0,-0,-1|0,1,0|Running
-814.0460815429688,40.0072021484375,-237.15818786621094|-0,-0,-1|0,1,0|Running
-814.0460815429688,40.0072021484375,-237.15818786621094|-0,-0,-1|0,1,0|Running
-814.0460815429688,40.0072021484375,-237.15818786621094|-0,-0,-1|0,1,0|Running
-814.0460815429688,40.0072021484375,-237.15818786621094|-0,-0,-1|0,1,0|Running
-814.0460815429688,40.0072021484375,-237.15818786621094|-0,-0,-1|0,1,0|Running
-814.0460815429688,40.0072021484375,-237.15818786621094|-0,-0,-1|0,1,0|Running
-814.0460815429688,40.0072021484375,-237.15818786621094|-0,-0,-1|0,1,0|Running
-814.0460815429688,40.0072021484375,-237.15818786621094|-0,-0,-1|0,1,0|Running
-814.0460815429688,40.0072021484375,-237.15818786621094|-0,-0,-1|0,1,0|Running
-814.0460815429688,40.0072021484375,-237.15818786621094|-0,-0,-1|0,1,0|Running
-814.0460815429688,40.0072021484375,-237.15818786621094|-0,-0,-1|0,1,0|Running
-814.0460815429688,40.0072021484375,-237.15818786621094|-0,-0,-1|0,1,0|Running
-814.0300903320312,40.007198333740234,-237.0431365966797|0.36870214343070984,-0.00010766106424853206,-0.9295476078987122|0.000020471226889640093,1,-0.00010770108201541007|Running
-814.000244140625,40.0072021484375,-236.61691284179688|0.848890483379364,-0.0002050600160146132,-0.5285687446594238|0.00013466506788972765,1,-0.00017167894111480564|Running
-813.968505859375,40.007205963134766,-235.8846893310547|0.9724969863891602,-0.0001203461506520398,0.23291552066802979|0.00012291314487811178,1,0.0000034926094940601615|Running
-813.9568481445312,40.00720977783203,-235.28610229492188|0.786565363407135,-0.000051997918490087613,0.6175070405006409|0.00004502366209635511,1,0.000026856154363485985|Running
-813.950439453125,40.0031623840332,-234.75344848632812|0.6029819846153259,-0.000024473873054375872,0.7977548241615295|0.00001634774889680557,1,0.000018322014511795714|Running
-813.95556640625,40.00624084472656,-234.08717346191406|0.4052872061729431,-0.000012052099918946624,0.9141893982887268|0.000005617085207632044,1,0.000010693152034946252|Running
