KBG|false|14298
-570.2616577148438,4.944838523864746,70.40252685546875|0.9999990463256836,-5.972106720264492e-08,-0.001389597891829908|5.977350525654401e-08,1,3.7694142918098805e-08|Running
-570.2616577148438,4.944838523864746,70.40252685546875|0.9999990463256836,-9.270178935594231e-08,-0.001389597891829908|9.278318202632363e-08,1,5.8510575939862974e-08|Running
-570.2616577148438,4.944838523864746,70.40252685546875|0.9999990463256836,-6.68644730694723e-08,-0.001389597891829908|6.692318521572815e-08,1,4.2202845662586697e-08|Running
-570.2616577148438,4.944838523864746,70.40252685546875|0.9999990463256836,-4.104924045122971e-08,-0.001389597891829908|4.108528273150114e-08,1,2.5909049128358674e-08|Running
-570.2616577148438,4.944838523864746,70.40252685546875|0.9999990463256836,-2.814989485955266e-08,-0.001389597891829908|2.8174612864972914e-08,1,1.776737157399566e-08|Running
-570.2616577148438,4.944838523864746,70.40252685546875|0.9999990463256836,-2.3677404481503572e-09,-0.001389597891829908|2.3698194517862703e-09,1,1.4944535609018317e-09|Running
-570.2616577148438,4.944838523864746,70.40252685546875|0.9999990463256836,2.3392384917997333e-08,-0.001389597891829908|-2.3412924932131318e-08,1,-1.4764560241076197e-08|Running
-570.2616577148438,4.944838523864746,70.40252685546875|0.9999990463256836,4.91304987804142e-08,-0.001389597891829908|-4.9173639382615875e-08,1,-3.100968370972623e-08|Running
-570.2616577148438,4.944838523864746,70.40252685546875|0.9999990463256836,7.484662489787297e-08,-0.001389597891829908|-7.491234299550342e-08,1,-4.7240924061497935e-08|Running
-570.2616577148438,4.944838523864746,70.40252685546875|0.9999990463256836,8.359081249409428e-08,-0.001389597891829908|-8.366420445327094e-08,1,-5.275999015452726e-08|Running
-570.2616577148438,4.944838523864746,70.40252685546875|0.9999990463256836,6.664809149015127e-08,-0.001389597891829908|-6.670661178986848e-08,1,-4.206625803249153e-08|Running
-570.2616577148438,4.944838523864746,70.40252685546875|0.9999990463256836,1.586336395575927e-08,-0.001389597891829908|-1.5877292369737006e-08,1,-1.001246996423788e-08|Running
-570.2616577148438,4.944838523864746,70.40252685546875|0.9999990463256836,-1.0504139780209698e-09,-0.001389597891829908|1.0513363513098284e-09,1,6.629957693959909e-10|Running
-570.2616577148438,4.944838523864746,70.40252685546875|0.9999990463256836,-3.485628852217815e-08,-0.001389597891829908|3.4886895150521013e-08,1,2.200024340481832e-08|Running
-570.2616577148438,4.944838523864746,70.40252685546875|0.9999990463256836,-8.551095476150294e-08,-0.001389597891829908|8.558603781239071e-08,1,5.397193802991751e-08|Running
-570.2616577148438,4.944838523864746,70.40252685546875|0.9999990463256836,-8.733093181945151e-08,-0.001389597891829908|8.740761359149474e-08,1,5.512064760182511e-08|Running
-570.2616577148438,4.944838523864746,70.40252685546875|0.9999990463256836,-5.724925600247843e-08,-0.001389597891829908|5.729952334831978e-08,1,3.6133997127762996e-08|Running
-570.2616577148438,4.944838523864746,70.40252685546875|0.9999990463256836,-2.719328229261464e-08,-0.001389597891829908|2.721715830489302e-08,1,1.7163568344358282e-08|Running
-570.2616577148438,4.944838523864746,70.40252685546875|0.9999990463256836,2.8370112925557578e-09,-0.001389597891829908|-2.8395021889338068e-09,1,-1.7906524041322314e-09|Running
-570.2616577148438,4.944838523864746,70.40252685546875|0.9999990463256836,3.284164407091339e-08,-0.001389597891829908|-3.287048144784421e-08,1,-2.0728677441184118e-08|Running
-570.2616577148438,4.944838523864746,70.40252685546875|0.9999990463256836,4.783434448540902e-08,-0.001389597891829908|-4.787634821923348e-08,1,-3.0191621647190914e-08|Running
-570.2616577148438,4.944838523864746,70.40252685546875|0.9999990463256836,7.780052868611165e-08,-0.001389597891829908|-7.786884026472762e-08,1,-4.910538109470508e-08|Running
-570.2616577148438,4.944838523864746,70.40252685546875|0.9999990463256836,1.0774110847933116e-07,-0.001389597891829908|-1.0783571013917026e-07,1,-6.80029756949807e-08|Running
-570.2616577148438,4.944838523864746,70.40252685546875|0.9999990463256836,5.537546599043708e-08,-0.001389597891829908|-5.542408842984514e-08,1,-3.4951341376654455e-08|Running
-570.2616577148438,4.944838523864746,70.40252685546875|0.9999990463256836,2.05023233945667e-08,-0.001389597891829908|-2.0520326771134023e-08,1,-1.2940451377119189e-08|Running
-570.2616577148438,4.944838523864746,70.40252685546875|0.9999990463256836,3.0769291559096246e-09,-0.001389597891829908|-3.0796307726177474e-09,1,-1.9420596242269994e-09|Running
-570.2616577148438,4.944838523864746,70.40252685546875|0.9999990463256836,-4.9154593284583825e-08,-0.001389597891829908|4.919775520306757e-08,1,3.102492129869461e-08|Running
-570.2616577148438,4.944838523864746,70.40252685546875|0.9999990463256836,-6.655022843915503e-08,-0.001389597891829908|6.660865636831659e-08,1,4.2004526079608695e-08|Running
-570.2616577148438,4.944838523864746,70.40252685546875|0.9999990463256836,-1.0131919481182194e-07,-0.001389597891829908|1.0140815476233911e-07,1,6.394966334255514e-08|Running
-570.2616577148438,4.944838523864746,70.40252685546875|0.9999990463256836,-5.785323864415659e-08,-0.001389597891829908|5.790403889704976e-08,1,3.651523883263508e-08|Running
-570.2616577148438,4.944838523864746,70.40252685546875|0.9999990463256836,-4.337696779543876e-08,-0.001389597891829908|4.341505643878918e-08,1,2.737824722487403e-08|Running
-570.2616577148438,4.944838523864746,70.40252685546875|0.9999990463256836,-1.4442981921547471e-08,-0.001389597891829908|1.445566333302395e-08,1,9.115971977280424e-09|Running
-570.2616577148438,4.944838523864746,70.40252685546875|0.9999990463256836,1.4466283282388304e-08,-0.001389597891829908|-1.4478985121968435e-08,1,-9.130697975479052e-09|Running
-570.2616577148438,4.944838523864746,70.40252685546875|0.9999990463256836,5.778387190957801e-08,-0.001389597891829908|-5.783460821362496e-08,1,-3.647147650553961e-08|Running
-570.2616577148438,4.944838523864746,70.40252685546875|0.9999990463256836,8.663142381237776e-08,-0.001389597891829908|-8.670748741224088e-08,1,-5.467919450552472e-08|Running
-570.2616577148438,4.944838523864746,70.40252685546875|0.9999990463256836,8.488848379784031e-08,-0.001389597891829908|-8.496301973082154e-08,1,-5.35791038203115e-08|Running
-570.2616577148438,4.944838523864746,70.40252685546875|0.9999990463256836,6.873791846828681e-08,-0.001389597891829908|-6.879827196826227e-08,1,-4.338534509429337e-08|Running
-570.2616577148438,4.944838523864746,70.40252685546875|0.9999990463256836,3.6457489471786175e-08,-0.001389597891829908|-3.6489502974745847e-08,1,-2.3010892746810896e-08|Running
-570.2616577148438,4.944838523864746,70.40252685546875|0.9999990463256836,-1.1911443387191412e-08,-0.001389597891829908|1.19219025762618e-08,1,7.518147882024095e-09|Running
