MT Varsha|true|8344
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,6.470581581652368e-08,0.4816772937774658|-6.072698255366049e-08,1,-2.3849601404890564e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,1.0514834514196991e-07,0.4816772937774658|-9.868249861710865e-08,1,-3.8756379439064403e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,1.0666754945987122e-07,0.4816772937774658|-1.0010822393269336e-07,1,-3.931645053967259e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,6.931330887027798e-08,0.4816772937774658|-6.505096195041915e-08,1,-2.554819289457555e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,3.19909823076614e-08,0.4816772937774658|-3.0023649344457226e-08,1,-1.17917018371827e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,-5.29945687333111e-09,0.4816772937774658|4.973732536939224e-09,1,1.9530352890484437e-09|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,-4.2558031765338455e-08,0.4816772937774658|3.994121300365805e-08,1,1.5686028476125102e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,-7.978476901371323e-08,0.4816772937774658|7.48788124838029e-08,1,2.940728549560845e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,-1.169796988165217e-07,0.4816772937774658|1.0978656916904583e-07,1,4.3116816783594913e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,-8.179858212997715e-08,0.4816772937774658|7.676872115780498e-08,1,3.0149674756785316e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,-4.6647524953868924e-08,0.4816772937774658|4.377909590402851e-08,1,1.7193617196653577e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,-1.1526505083736538e-08,0.4816772937774658|1.0817654327865966e-08,1,4.24862900416656e-09|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,2.35645085666647e-08,0.4816772937774658|-2.2115624886964724e-08,1,-8.685296926103092e-09|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,5.862553820179528e-08,0.4816772937774658|-5.5020763056745636e-08,1,-2.1608171252296415e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,9.365660957882938e-08,0.4816772937774658|-8.789778149775884e-08,1,-3.452000285619761e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,1.286577457904059e-07,0.4816772937774658|-1.207467192898548e-07,1,-4.7420801507769283e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,8.652278182808004e-08,0.4816772937774658|-8.120257177779422e-08,1,-3.189067854236782e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,4.442382106617515e-08,0.4816772937774658|-4.169221767824638e-08,1,-1.637382851527036e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,2.3608290877774607e-09,0.4816772937774658|-2.2156199097622675e-09,1,-8.702372711333339e-10|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,-3.9666222306777854e-08,0.4816772937774658|3.722724883914452e-08,1,1.4620105126539329e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,-8.165736176124483e-08,0.4816772937774658|7.663641810040644e-08,1,3.009721183389047e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,-1.236126223602696e-07,0.4816772937774658|1.1601191118870702e-07,1,4.5561090900037016e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,-8.798149053745874e-08,0.4816772937774658|8.25716597319115e-08,1,3.24281934638293e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,-5.2380801918161524e-08,0.4816772937774658|4.9159982751234566e-08,1,1.93065226028466e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,-1.6810529857025358e-08,0.4816772937774658|1.5776855377680477e-08,1,6.19606232987735e-09|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,1.872935051494551e-08,0.4816772937774658|-1.7577750810460202e-08,1,-6.903195348684221e-09|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,5.423886406674683e-08,0.4816772937774658|-5.090385712946954e-08,1,-1.999126020280073e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,8.971803566737435e-08,0.4816772937774658|-8.42014884483433e-08,1,-3.3068143778791637e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,1.2516689196218067e-07,0.4816772937774658|-1.1747066963607722e-07,1,-4.6133848741192196e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,8.498937376089089e-08,0.4816772937774658|-7.976356641847815e-08,1,-3.132528192395512e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,4.484618187916567e-08,0.4816772937774658|-4.208868276123212e-08,1,-1.6529366320128247e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,4.737292336187693e-09,0.4816772937774658|-4.445989354451285e-09,1,-1.7460971557525795e-09|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,-3.5337325954287735e-08,0.4816772937774658|3.316453955903853e-08,1,1.3024539669004298e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,-7.537769874943478e-08,0.4816772937774658|7.074293506548202e-08,1,2.7782554923305725e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,-1.1538386246456867e-07,0.4816772937774658|1.082892211456965e-07,1,4.252795804404741e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,-8.261631734285402e-08,0.4816772937774658|7.75364554783664e-08,1,3.0450568289097646e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,-4.9876771157642e-08,0.4816772937774658|4.680997278683208e-08,1,1.8383500943741637e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,-1.716520081629369e-08,0.4816772937774658|1.6109741096670405e-08,1,6.326746682105977e-09|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,1.5518418550186652e-08,0.4816772937774658|-1.4564256467508585e-08,1,-5.719703821682742e-09|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,4.8174111810794784e-08,0.4816772937774658|-4.5212043886522224e-08,1,-1.7755859005319508e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,8.08018967290991e-08,0.4816772937774658|-7.583364691754468e-08,1,-2.9781727306499306e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,1.1340181060859322e-07,0.4816772937774658|-1.0642908421232278e-07,1,-4.1797321159720013e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,1.0766436275844171e-07,0.4816772937774658|-1.0104442083047616e-07,1,-3.9682632291260234e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,6.363869431424973e-08,0.4816772937774658|-5.972574257384622e-08,1,-2.345577598816817e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,1.9650634897061536e-08,0.4816772937774658|-1.844237473846988e-08,1,-7.242784150207626e-09|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,-2.429983503304811e-08,0.4816772937774658|2.2805721755503328e-08,1,8.956353880762435e-09|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,-6.821275633228652e-08,0.4816772937774658|6.401857177706916e-08,1,2.514165053923989e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,-1.1208815209329259e-07,0.4816772937774658|1.0519621440607807e-07,1,4.1313118259722614e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,-8.317677924196687e-08,0.4816772937774658|7.80625057927864e-08,1,3.065705556082321e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,-5.4290111961563525e-08,0.4816772937774658|5.0951982188962575e-08,1,2.001009846708257e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,-2.542812360672997e-08,0.4816772937774658|2.3864622278324532e-08,1,9.37223987307334e-09|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,3.409200477477725e-09,0.4816772937774658|-3.1995939231421744e-09,1,-1.2565272156095375e-09|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,3.222188382778768e-08,0.4816772937774658|-3.024068462309515e-08,1,-1.1876210237460327e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,6.10099490927496e-08,0.4816772937774658|-5.7258670693727254e-08,1,-2.2486819517553158e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,8.97734153681995e-08,0.4816772937774658|-8.425357123087451e-08,1,-3.308836227233769e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,1.1851231107584681e-07,0.4816772937774658|-1.1122540399810532e-07,1,-4.368084560724128e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,7.765936516079819e-08,0.4816772937774658|-7.288436165708845e-08,1,-2.8623414749517906e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,3.684132465764378e-08,0.4816772937774658|-3.4576075336190115e-08,1,-1.3578851820739146e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,-3.941836190790582e-09,0.4816772937774658|3.6994738383810954e-09,1,1.4528548364367566e-09|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,-4.469015024710643e-08,0.4816772937774658|4.194232161580658e-08,1,1.647171643526235e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,-8.54036414921211e-08,0.4816772937774658|8.01524890903238e-08,1,3.147774663148084e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,-1.2608235522293398e-07,0.4816772937774658|1.183300142315602e-07,1,4.647095153131886e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,-8.850711452623727e-08,0.4816772937774658|8.306513876732424e-08,1,3.262161740735792e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,-5.096398680848324e-08,0.4816772937774658|4.783039386779819e-08,1,1.8784119149017897e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,-1.345293298982142e-08,0.4816772937774658|1.262575377580788e-08,1,4.9584443218009255e-09|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,2.4026070022387103e-08,0.4816772937774658|-2.254880548946403e-08,1,-8.855416844255615e-09|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,6.147304532078124e-08,0.4816772937774658|-5.769330968519171e-08,1,-2.265747411911434e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,9.888803020885462e-08,0.4816772937774658|-9.2807788121263e-08,1,-3.644773727273787e-08|Running
