Mount Jirlah|true|19997
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
