ducky|true|2775
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
