funny|true|1279
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,-7.451116168510907e-09,0.998917818069458|-4.5849755103688494e-09,1,7.245712030368168e-09|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,1.7885827929831066e-08,0.998917818069458|1.1005785616191588e-08,1,-1.7392775220059775e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,4.3201108468338134e-08,0.998917818069458|2.6583215628761536e-08,1,-4.201019621064006e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,6.849474232240027e-08,0.998917818069458|4.21473238532144e-08,1,-6.660656737267345e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,1.0639465131134784e-07,0.998917818069458|6.5468540810798e-08,1,-1.0346170142838673e-07|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,6.940469177152409e-08,0.998917818069458|4.270726705613015e-08,1,-6.749143466322494e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,3.244636204158269e-08,0.998917818069458|1.9965456843351603e-08,1,-3.155192018766684e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,-9.665910027933933e-08,0.998917818069458|-5.947782710791216e-08,1,9.399452949310216e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,-7.115171740679216e-08,0.998917818069458|-4.378222584477953e-08,1,6.919029971186319e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,-4.5666144643519146e-08,0.998917818069458|-2.810004495756857e-08,1,4.4407279631286656e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,-2.0202364225951897e-08,0.998917818069458|-1.2431274676316661e-08,1,1.9645451487804166e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,1.79524874965864e-08,0.998917818069458|1.1046758174870774e-08,1,-1.745759981020001e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,4.3361872315017536e-08,0.998917818069458|2.6682050346948927e-08,1,-4.2166533376075677e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,6.874952873658913e-08,0.998917818069458|4.230397365745375e-08,1,-6.685434073006036e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,9.411547807758325e-08,0.998917818069458|5.791253698816945e-08,1,-9.152103075393825e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,6.966277510400687e-08,0.998917818069458|4.2865949012593774e-08,1,-6.774240546292276e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,3.2566980223691644e-08,0.998917818069458|2.0039617965039724e-08,1,-3.1669216582486115e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,1.4030979045287495e-08,0.998917818069458|8.633773695976288e-09,1,-1.3644191554362806e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,-4.1529478522761565e-08,0.998917818069458|-2.555449896135542e-08,1,4.038465206690489e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,-7.853019212689105e-08,0.998917818069458|-4.8322320367333305e-08,1,7.636538157385075e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,-7.141640168129015e-08,0.998917818069458|-4.3944965000264347e-08,1,6.944769381789229e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,-3.305401463649105e-08,0.998917818069458|-2.033928225841919e-08,1,3.214282529029333e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,-7.506421262348795e-09,0.998917818069458|-4.618978977077859e-09,1,7.299494342305479e-09|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,1.8019326475382513e-08,0.998917818069458|1.108788083570289e-08,1,-1.7522596706953664e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,4.352324722844969e-08,0.998917818069458|2.6781309614420934e-08,1,-4.2323460291981974e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,8.173824994628376e-08,0.998917818069458|5.029629690511683e-08,1,-7.948500524435076e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,1.0718768805872969e-07,0.998917818069458|6.595619339577752e-08,1,-1.0423288898664396e-07|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,3.2688141970993456e-08,0.998917818069458|2.0114130805382047e-08,1,-3.1787042331643534e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,-4.513857287946621e-09,0.998917818069458|-2.7775031163912445e-09,1,4.389427044060312e-09|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,-6.025722143476742e-08,0.998917818069458|-3.707825158016931e-08,1,5.859613594338953e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,-9.737974693280194e-08,0.998917818069458|-5.992097840135102e-08,1,9.469532358252764e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,-7.168218019160122e-08,0.998917818069458|-4.41084182511986e-08,1,6.970614663259767e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,-4.6006583431790204e-08,0.998917818069458|-2.8309377952950854e-08,1,4.473833925544568e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,3.088855748956121e-08,0.998917818069458|1.9006730411774697e-08,1,-3.0037067944022056e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,5.6476451959497354e-08,0.998917818069458|3.4751799660170946e-08,1,-5.4919592429314434e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,1.0758662938314956e-07,0.998917818069458|6.62015580132902e-08,1,-1.0462083821494161e-07|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,3.280980465092398e-08,0.998917818069458|2.0188950955457585e-08,1,-3.190535124986127e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,-4.5306580709336686e-09,0.998917818069458|-2.7878450659102327e-09,1,4.405764197912276e-09|Running
