lamore|true|2402
577.7064208984375,23.494110107421875,-576.447998046875|-0.6257942318916321,-3.1113098764024016e-09,0.779988169670105|5.1000526718469885e-11,1,4.02983779679289e-09|Running
577.7064208984375,23.494110107421875,-576.447998046875|-0.6257942318916321,-6.069458891033719e-08,0.779988169670105|9.95613369525472e-10,1,7.861354589522307e-08|Running
577.7064208984375,23.494110107421875,-576.447998046875|-0.6257942318916321,-7.608703356254409e-08,0.779988169670105|1.2481293776289704e-09,1,9.855034477368463e-08|Running
577.7064208984375,23.494110107421875,-576.447998046875|-0.6257942318916321,-2.2694955248425686e-08,0.779988169670105|3.723182040449302e-10,1,2.939525423073519e-08|Running
577.7064208984375,23.494110107421875,-576.447998046875|-0.6257942318916321,1.7289226050820616e-08,0.779988169670105|-2.835580659166226e-10,1,-2.2393511045493142e-08|Running
577.7064208984375,23.494110107421875,-576.447998046875|-0.6257942318916321,5.722215590253654e-08,0.779988169670105|-9.385934252037487e-10,1,-7.411589564298993e-08|Running
577.7064208984375,23.494110107421875,-576.447998046875|-0.6257942318916321,8.124805361831022e-08,0.779988169670105|-1.332711718760038e-09,1,-1.0523499582859586e-07|Running
577.7064208984375,23.494110107421875,-576.447998046875|-0.6257942318916321,3.372113610566885e-08,0.779988169670105|-5.531494706723095e-10,1,-4.367667827409605e-08|Running
577.7064208984375,23.494110107421875,-576.447998046875|-0.6257942318916321,-1.3744861249165297e-08,0.779988169670105|2.2541268851483665e-10,1,1.780273528595444e-08|Running
577.7064208984375,23.494110107421875,-576.447998046875|-0.6257942318916321,-6.115001838224998e-08,0.779988169670105|1.0029770347586009e-09,1,7.920335320932281e-08|Running
577.7064208984375,23.494110107421875,-576.447998046875|-0.6257942318916321,-6.605153402006181e-08,0.779988169670105|1.0833969277257438e-09,1,8.555196018278366e-08|Running
577.7064208984375,23.494110107421875,-576.447998046875|-0.6257942318916321,-2.60920138828169e-08,0.779988169670105|4.279984977539897e-10,1,3.379519597501712e-08|Running
577.7064208984375,23.494110107421875,-576.447998046875|-0.6257942318916321,1.381629033403442e-08,0.779988169670105|-2.2656024278866482e-10,1,-1.789523373929569e-08|Running
577.7064208984375,23.494110107421875,-576.447998046875|-0.6257942318916321,5.367344613205205e-08,0.779988169670105|-8.802807371921517e-10,1,-6.951940889621255e-08|Running
577.7064208984375,23.494110107421875,-576.447998046875|-0.6257942318916321,7.848989014291874e-08,0.779988169670105|-1.2873223598219852e-09,1,-1.0166242958575822e-07|Running
577.7064208984375,23.494110107421875,-576.447998046875|-0.6257942318916321,3.355946631700135e-08,0.779988169670105|-5.504334765760177e-10,1,-4.3467228039162364e-08|Running
577.7064208984375,23.494110107421875,-576.447998046875|-0.6257942318916321,-2.625820449964067e-08,0.779988169670105|4.306135170661918e-10,1,3.4010362526259996e-08|Running
577.7064208984375,23.494110107421875,-576.447998046875|-0.6257942318916321,-7.377383326456766e-08,0.779988169670105|1.2099116153407863e-09,1,9.5554000267839e-08|Running
577.7064208984375,23.494110107421875,-576.447998046875|-0.6257942318916321,-2.5026624328461367e-08,0.779988169670105|4.104727391318619e-10,1,3.241522961161536e-08|Running
577.7064208984375,23.494110107421875,-576.447998046875|-0.6257942318916321,2.3637284130018088e-08,0.779988169670105|-3.8759859211090486e-10,1,-3.061564513018311e-08|Running
577.7064208984375,23.494110107421875,-576.447998046875|-0.6257942318916321,7.221802889034734e-08,0.779988169670105|-1.184306208656949e-09,1,-9.353880159324035e-08|Running
577.7064208984375,23.494110107421875,-576.447998046875|-0.6257942318916321,8.009683938325907e-08,0.779988169670105|-1.3135290632959595e-09,1,-1.0374366610221841e-07|Running
577.7064208984375,23.494110107421875,-576.447998046875|-0.6257942318916321,1.4645121559908603e-08,0.779988169670105|-2.401988330458238e-10,1,-1.8968796311469305e-08|Running
577.7064208984375,23.494110107421875,-576.447998046875|-0.6257942318916321,-3.4370263080063523e-08,0.779988169670105|5.635942823545292e-10,1,4.4517285857637034e-08|Running
577.7064208984375,23.494110107421875,-576.447998046875|-0.6257942318916321,-8.3322824195875e-08,0.779988169670105|1.3663560283205811e-09,1,1.0792199844900097e-07|Running
