tali|true|1067
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,-8.679069907202575e-09,-0.9935092329978943|6.533633722938248e-08,1,-1.6216446852013178e-08|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,-4.89356777322314e-09,-0.9935092329978943|3.683890525962852e-08,1,-9.143403367772862e-09|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,-1.1113001630036479e-09,-0.9935092329978943|8.3658120431096e-09,1,-2.0764028274555812e-09|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,2.667735810035765e-09,-0.9935092329978943|-2.008296462463477e-08,1,4.984560764142998e-09|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,6.443542588385753e-09,-0.9935092329978943|-4.850744161899456e-08,1,1.2039492069959579e-08|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,1.0216123058626181e-08,-0.9935092329978943|-7.690764647350079e-08,1,1.9088396641109284e-08|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,1.3985480329381517e-08,-0.9935092329978943|-1.0528358984629449e-07,1,2.6131278474395003e-08|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,1.3109800356403412e-08,-0.9935092329978943|-9.869140171758772e-08,1,2.4495106387689702e-08|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,7.595037487817535e-09,-0.9935092329978943|-5.717587825415649e-08,1,1.4191001262986447e-08|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,2.084987293926588e-09,-0.9935092329978943|-1.5695819755023876e-08,1,3.895699318690049e-09|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,-3.4203542220723193e-09,-0.9935092329978943|2.5748805754233217e-08,1,-6.390805662448429e-09|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,-8.920991056982075e-09,-0.9935092329978943|6.715803380075158e-08,1,-1.6668522562213184e-08|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,-1.4416927207605568e-08,-0.9935092329978943|1.0853188570081329e-07,1,-2.6937458486031574e-08|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,-1.0612438039458993e-08,-0.9935092329978943|7.989135042407725e-08,1,-1.9828920727604782e-08|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,-6.8112000484177315e-09,-0.9935092329978943|5.127527913373342e-08,1,-1.272645455685506e-08|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,-3.013210347901918e-09,-0.9935092329978943|2.2683639855358706e-08,1,-5.63005642106873e-09|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,2.6776900696745543e-09,-0.9935092329978943|-2.0158037017381503e-08,1,5.003175207463073e-09|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,4.573035727872821e-09,-0.9935092329978943|-3.442639950890225e-08,1,8.54455795007425e-09|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,1.025421525469028e-08,-0.9935092329978943|-7.719492600699596e-08,1,1.9159630326726074e-08|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,1.214632305845953e-08,-0.9935092329978943|-9.143892754082117e-08,1,2.2694964130209883e-08|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,1.5928113938912247e-08,-0.9935092329978943|-1.1990867676558992e-07,1,2.976110202723703e-08|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,1.0390420079886553e-08,-0.9935092329978943|-7.822026759640721e-08,1,1.941412008932275e-08|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,4.857457547302602e-09,-0.9935092329978943|-3.6567467276427124e-08,1,9.075979079398167e-09|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,-6.707745470180271e-10,-0.9935092329978943|5.049756612862666e-09,1,-1.2533279969417777e-09|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,-6.1942833085026905e-09,-0.9935092329978943|4.6631409844621885e-08,1,-1.1573808578191347e-08|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,-1.1713074954400327e-08,-0.9935092329978943|8.817751506740024e-08,1,-2.188547121306783e-08|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,-1.2560954942841818e-08,-0.9935092329978943|9.456041993871622e-08,1,-2.346969907307539e-08|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,-8.743901602770165e-09,-0.9935092329978943|6.582519063158543e-08,1,-1.633767254816121e-08|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,-4.930107433409603e-09,-0.9935092329978943|3.711452478682986e-08,1,-9.21173892720617e-09|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,-1.119569326135661e-09,-0.9935092329978943|8.428401088167448e-09,1,-2.0918922150059416e-09|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,2.687713385185475e-09,-0.9935092329978943|-2.02332159915386e-08,1,5.0218718072869706e-09|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,6.4917431430444594e-09,-0.9935092329978943|-4.8870351321284033e-08,1,1.212955869078769e-08|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,1.0292522389931946e-08,-0.9935092329978943|-7.748302266463725e-08,1,1.923117309843292e-08|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,1.409005445651701e-08,-0.9935092329978943|-1.0607125489059399e-07,1,2.6326720359293176e-08|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,1.3207822391336776e-08,-0.9935092329978943|-9.942974088517076e-08,1,2.467830562125073e-08|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,7.651818734188964e-09,-0.9935092329978943|-5.7603628533797746e-08,1,1.4297128814177995e-08|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,2.1005610584268197e-09,-0.9935092329978943|-1.581324937660611e-08,1,3.924820024536757e-09|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,-3.445954632752546e-09,-0.9935092329978943|2.5941423231756744e-08,1,-6.438626964921923e-09|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,-8.987729671616762e-09,-0.9935092329978943|6.766042304207076e-08,1,-1.6793217483268563e-08|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,-1.4524767166790298e-08,-0.9935092329978943|1.0934377314697485e-07,1,-2.713895952410894e-08|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,-1.0691818097541272e-08,-0.9935092329978943|8.048897370827035e-08,1,-1.9977242970981024e-08|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,-6.862145074393311e-09,-0.9935092329978943|5.1658822997069365e-08,1,-1.2821645967164841e-08|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,-3.0357447666773396e-09,-0.9935092329978943|2.2853299697089824e-08,1,-5.672163183589873e-09|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,7.873855456530521e-10,-0.9935092329978943|-5.927616619771925e-09,1,1.4712113749482114e-09|Running
