bisu|false|19868
-31.84890365600586,7.7945876121521,234.89987182617188|-0,-0,-1|0,1,0|Running
-31.84890365600586,7.7945876121521,234.89987182617188|-0,-0,-1|0,1,0|Running
-31.84890365600586,7.7945876121521,234.89987182617188|-0,-0,-1|0,1,0|Running
-31.84890365600586,7.7945876121521,234.89987182617188|-0,-0,-1|0,1,0|Running
-31.84890365600586,7.7945876121521,234.89987182617188|-0,-0,-1|0,1,0|Running
-31.84890365600586,7.7945876121521,234.89987182617188|-0,-0,-1|0,1,0|Running
-31.84890365600586,7.7945876121521,234.89987182617188|-0,-0,-1|0,1,0|Running
-31.84890365600586,7.7945876121521,234.89987182617188|-0,-0,-1|0,1,0|Running
-31.84890365600586,7.7945876121521,234.89987182617188|-0,-0,-1|0,1,0|Running
-31.84890365600586,7.7945876121521,234.89987182617188|-0,-0,-1|0,1,0|Running
-31.84890365600586,7.7945876121521,234.89987182617188|-0,-0,-1|0,1,0|Running
-31.84890365600586,7.7945876121521,234.89987182617188|-0,-0,-1|0,1,0|Running
-31.84890365600586,7.7945876121521,234.89987182617188|-0,-0,-1|0,1,0|Running
-31.84890365600586,7.7945876121521,234.89987182617188|-0,-0,-1|0,1,0|Running
-31.84890365600586,7.7945876121521,234.89987182617188|-0,-0,-1|0,1,0|Running
-31.84890365600586,7.7945876121521,234.89987182617188|-0,-0,-1|0,1,0|Running
-31.84890365600586,7.7945876121521,234.89987182617188|-0,-0,-1|0,1,0|Running
-31.84890365600586,7.7945876121521,234.89987182617188|-0,-0,-1|0,1,0|Running
-31.84890365600586,7.7945876121521,234.89987182617188|-0,-0,-1|0,1,0|Running
-31.84890365600586,7.7945876121521,234.89987182617188|-0,-0,-1|0,1,0|Running
-31.84890365600586,7.7945876121521,234.89987182617188|-0,-0,-1|0,1,0|Running
-31.84890365600586,7.7945876121521,234.89987182617188|-0,-0,-1|0,1,0|Running
-31.84890365600586,7.7945876121521,234.89987182617188|-0,-0,-1|0,1,0|Running
-31.84890365600586,7.7945876121521,234.89987182617188|-0,-0,-1|0,1,0|Running
-31.84890365600586,7.7945876121521,234.89987182617188|-0,-0,-1|0,1,0|Running
-31.84257698059082,7.7945876121521,234.82464599609375|0.0075187962502241135,-6.473349145608154e-08,-0.9999717473983765|-1.6578924344479162e-10,1,-6.473656810612738e-08|Running
-31.82638931274414,7.7945876121521,234.6291046142578|0.017321908846497536,-1.3876872628770798e-07,-0.9998499751091003|4.6295817179853316e-10,1,-1.3878153026780637e-07|Running
-31.8004207611084,7.7945876121521,234.31321716308594|0.026291359215974808,-1.3962545608592336e-07,-0.9996542930603027|1.5872131386984734e-09,1,-1.3963199307909235e-07|Running
-31.764671325683594,7.7945876121521,233.87698364257812|0.03408433496952057,-1.316397657546986e-07,-0.9994189739227295|2.7872149033214555e-09,1,-1.316212490110047e-07|Running
-31.719390869140625,7.7945876121521,233.32383728027344|0.0407911017537117,-1.310685178168569e-07,-0.9991676807403564|3.911112322896315e-09,1,-1.310180266500538e-07|Running
-31.670562744140625,7.7945876121521,232.72727966308594|0.0465526320040226,-1.327465781741921e-07,-0.9989158511161804|4.919889828869373e-09,1,-1.3266136988931976e-07|Running
-31.621618270874023,7.7945876121521,232.12928771972656|0.05150045454502106,-1.20820658366938e-07,-0.9986729621887207|5.138862224640661e-09,1,-1.2071619437392656e-07|Running
-31.58490753173828,7.7945876121521,231.6807861328125|0.05472402647137642,-1.223503716119012e-07,-0.9985015392303467|5.709026140721107e-09,1,-1.2222109546655702e-07|Running
-31.53595733642578,7.7945876121521,231.082763671875|0.05848662555217743,-1.0576289355412882e-07,-0.9982882142066956|5.416528559010203e-09,1,-1.0562691699078641e-07|Running
-31.47477149963379,7.7945876121521,230.33523559570312|0.06252316385507584,-1.1001721844650092e-07,-0.9980435371398926|6.16558359922692e-09,1,-1.0984663845192699e-07|Running
-31.425819396972656,7.7945876121521,229.73721313476562|0.06524380296468735,-1.0515861248450165e-07,-0.9978693723678589|6.227772963995903e-09,1,-1.049759532634198e-07|Running
-31.376869201660156,7.7945876121521,229.1392059326172|0.06755606085062027,-1.2383836178742058e-07,-0.9977154731750488|7.682125158225972e-09,1,-1.2360175105641247e-07|Running
-31.327917098999023,7.7945876121521,228.5411834716797|0.06953781098127365,-8.771494464099305e-08,-0.9975793361663818|5.606056507900803e-09,1,-8.753701052910401e-08|Running
-31.278966903686523,7.7945876121521,227.9431610107422|0.07123910635709763,-6.426353138522245e-08,-0.9974592924118042|4.324250291176668e-09,1,-6.411838171516138e-08|Running
-31.230012893676758,7.7945876121521,227.3451385498047|0.07270009070634842,-5.0154266517665747e-08,-0.9973538517951965|3.6457843410886426e-09,1,-5.0021583319903584e-08|Running
-31.181060791015625,7.7945876121521,226.7471160888672|0.07395480573177338,-4.293364241902964e-08,-0.9972615838050842|3.422882199899391e-09,1,-4.2797701382824016e-08|Running
-31.13210678100586,7.7945876121521,226.1490936279297|0.07503240555524826,-4.079219806385481e-08,-0.9971811175346375|3.543158211272157e-09,1,-4.064090930455677e-08|Running
-31.08315658569336,7.7945876121521,225.55108642578125|0.07595788687467575,-4.239510786874234e-08,-0.9971110224723816|3.920562985371134e-09,1,-4.221928051606483e-08|Running
-31.03420066833496,7.7945876121521,224.95306396484375|0.07675274461507797,-4.675768749962117e-08,-0.9970501661300659|4.490894767172904e-09,1,-4.6550315602189585e-08|Running
-30.98525047302246,7.7945876121521,224.35504150390625|0.07743541896343231,-5.3153478063450166e-08,-0.9969973564147949|5.205571973476708e-09,1,-5.2909246761601025e-08|Running
-30.936294555664062,7.7945876121521,223.75701904296875|0.07802173495292664,-6.10464141459488e-08,-0.9969516396522522|6.0270788360128336e-09,1,-6.0761387032926e-08|Running
-30.887340545654297,7.7945876121521,223.15899658203125|0.07852532714605331,-7.004112489994441e-08,-0.9969121217727661|6.9282459769226534e-09,1,-6.971234256525349e-08|Running
-30.83838653564453,7.7945876121521,222.56097412109375|0.07895784825086594,-7.984596095411689e-08,-0.9968779683113098|7.888261599475754e-09,1,-7.947122782070437e-08|Running
-30.78943634033203,7.7945876121521,221.96295166015625|0.07932933419942856,-9.024572733551395e-08,-0.996848464012146|8.89203732867827e-09,1,-8.982340915508757e-08|Running
-30.740482330322266,7.7945876121521,221.36492919921875|0.07964839786291122,-1.0108167458611206e-07,-0.9968230128288269|9.92793847132134e-09,1,-1.0061056343602104e-07|Running
-30.691526412963867,7.7945876121521,220.76690673828125|0.07992243766784668,-1.1223666263049381e-07,-0.9968010783195496|1.098709034863532e-08,1,-1.1171592007030995e-07|Running
-30.64257049560547,7.7945876121521,220.16888427734375|0.0801578089594841,-1.236243178937002e-07,-0.9967821836471558|1.2063304133391739e-08,1,-1.2305331154038868e-07|Running
-30.59361457824707,7.7945876121521,219.57086181640625|0.08035996556282043,-1.3518091179776093e-07,-0.9967659115791321|1.3151876032679866e-08,1,-1.3455920111482556e-07|Running
-30.544660568237305,7.7945876121521,218.97283935546875|0.08053360134363174,-7.632468168594642e-08,-0.9967519044876099|7.401828483466488e-09,1,-7.597536466619204e-08|Running
-30.49570655822754,7.7945876121521,218.37481689453125|0.08068273961544037,-1.7615622738276215e-08,-0.9967398047447205|1.6627077492614717e-09,1,-1.7538649643711324e-08|Running
-30.446754455566406,7.7945876121521,217.77679443359375|0.08081083744764328,4.097181616202761e-08,-0.9967294335365295|-4.067355785508653e-09,1,4.0776491516680835e-08|Running
-30.39780044555664,7.7945876121521,217.17877197265625|0.08092085272073746,9.945647860831741e-08,-0.996720552444458|-9.789497212864262e-09,1,9.898893438275991e-08|Running
