MT Cinlok|true|40325
-856.220703125,16.005916595458984,892.8727416992188|1,0,0|0,1,0|Running
-856.220703125,16.005916595458984,892.8727416992188|1,0,0|0,1,0|Running
-856.220703125,16.005916595458984,892.8727416992188|1,0,0|0,1,0|Running
-856.220703125,16.005916595458984,892.8727416992188|1,0,0|0,1,0|Running
-856.220703125,16.005916595458984,892.8727416992188|1,0,0|0,1,0|Running
-856.220703125,16.005916595458984,892.8727416992188|1,0,0|0,1,0|Running
-856.220703125,16.005916595458984,892.8727416992188|1,0,0|0,1,0|Running
-856.220703125,16.005916595458984,892.8727416992188|1,0,0|0,1,0|Running
-856.220703125,16.005916595458984,892.8727416992188|1,0,0|0,1,0|Running
-856.220703125,16.005916595458984,892.8727416992188|1,0,0|0,1,0|Running
-856.220703125,16.005916595458984,892.8727416992188|1,0,0|0,1,0|Running
-856.220703125,16.005916595458984,892.8727416992188|1,0,0|0,1,0|Running
-856.220703125,16.005916595458984,892.8727416992188|1,0,0|0,1,0|Running
-856.220703125,16.005916595458984,892.8727416992188|1,0,0|0,1,0|Running
-856.220703125,16.005916595458984,892.8727416992188|1,0,0|0,1,0|Running
-856.220703125,16.005916595458984,892.8727416992188|1,0,0|0,1,0|Running
-856.220703125,16.005916595458984,892.8727416992188|1,0,0|0,1,0|Running
-856.220703125,16.005916595458984,892.8727416992188|1,0,0|0,1,0|Running
-856.220703125,16.005916595458984,892.8727416992188|1,0,0|0,1,0|Running
-856.220703125,16.005916595458984,892.8727416992188|1,0,0|0,1,0|Running
-856.220703125,16.005916595458984,892.8727416992188|1,0,0|0,1,0|Running
-856.220703125,16.005916595458984,892.8727416992188|1,0,0|0,1,0|Running
-856.220703125,16.005916595458984,892.8727416992188|1,0,0|0,1,0|Running
-856.220703125,16.005916595458984,892.8727416992188|1,0,0|0,1,0|Running
-856.220703125,16.005916595458984,892.8727416992188|1,0,0|0,1,0|Running
-856.220703125,16.005916595458984,892.8727416992188|1,0,0|0,1,0|Running
-856.220703125,16.005916595458984,892.8727416992188|1,0,0|0,1,0|Running
-856.220703125,16.005916595458984,892.8727416992188|1,0,0|0,1,0|Running
-856.220703125,16.005916595458984,892.8727416992188|1,0,0|0,1,0|Running
-856.220703125,16.005916595458984,892.8727416992188|1,0,0|0,1,0|Running
-856.220703125,16.005916595458984,892.8727416992188|1,0,0|0,1,0|Running
-856.220703125,16.005916595458984,892.8727416992188|1,0,0|0,1,0|Running
-856.220703125,16.005916595458984,892.8727416992188|1,0,0|0,1,0|Running
-856.220703125,16.005916595458984,892.8727416992188|1,0,0|0,1,0|Running
-856.220703125,16.005916595458984,892.8727416992188|1,0,0|0,1,0|Running
-856.220703125,16.005916595458984,892.8727416992188|1,0,0|0,1,0|Running
-856.220703125,16.005916595458984,892.8727416992188|1,0,0|0,1,0|Running
-856.220703125,16.005916595458984,892.8727416992188|1,0,0|0,1,0|Running
-856.220703125,16.005916595458984,892.8727416992188|1,0,0|0,1,0|Running
-856.220703125,16.005916595458984,892.8727416992188|1,0,0|0,1,0|Running
-856.220703125,16.005916595458984,892.8727416992188|1,0,0|0,1,0|Running
-856.220703125,16.005916595458984,892.8727416992188|1,0,0|0,1,0|Running
-856.220703125,16.005916595458984,892.8727416992188|1,0,0|0,1,0|Running
-856.220703125,16.005916595458984,892.8727416992188|1,0,0|0,1,0|Running
-856.220703125,16.005916595458984,892.8727416992188|1,0,0|0,1,0|Running
-856.220703125,16.005916595458984,892.8727416992188|1,0,0|0,1,0|Running
-856.220703125,16.005916595458984,892.8727416992188|1,0,0|0,1,0|Running
-856.220703125,16.005916595458984,892.8727416992188|1,0,0|0,1,0|Running
-856.220703125,16.005916595458984,892.8727416992188|1,0,0|0,1,0|Running
-856.220703125,16.005916595458984,892.8727416992188|1,0,0|0,1,0|Running
-856.220703125,16.005916595458984,892.8727416992188|1,0,0|0,1,0|Running
-856.220703125,16.005916595458984,892.8727416992188|1,0,0|0,1,0|Running
-856.220703125,16.005916595458984,892.8727416992188|1,0,0|0,1,0|Running
-856.220703125,16.005916595458984,892.8727416992188|1,0,0|0,1,0|Running
-856.220703125,16.005916595458984,892.8727416992188|1,0,0|0,1,0|Running
-856.220703125,16.005916595458984,892.8727416992188|1,0,0|0,1,0|Running
-856.220703125,16.005916595458984,892.8727416992188|1,0,0|0,1,0|Running
-856.220703125,16.005916595458984,892.8727416992188|1,0,0|0,1,0|Running
-856.220703125,16.005916595458984,892.8727416992188|1,0,0|0,1,0|Running
-856.220703125,16.005916595458984,892.8727416992188|1,0,0|0,1,0|Running
-856.220703125,16.005916595458984,892.8727416992188|1,0,0|0,1,0|Running
-856.220703125,16.005916595458984,892.8727416992188|1,0,0|0,1,0|Running
-856.220703125,16.005916595458984,892.8727416992188|1,0,0|0,1,0|Running
-856.220703125,16.005916595458984,892.8727416992188|1,0,0|0,1,0|Running
-856.220703125,16.005916595458984,892.8727416992188|1,0,0|0,1,0|Running
-856.220703125,16.005916595458984,892.8727416992188|1,0,0|0,1,0|Running
-856.220703125,16.005916595458984,892.8727416992188|1,0,0|0,1,0|Running
-856.220703125,16.005916595458984,892.8727416992188|1,0,0|0,1,0|Running
-856.220703125,16.005916595458984,892.8727416992188|1,0,0|0,1,0|Running
-856.220703125,16.005916595458984,892.8727416992188|1,0,0|0,1,0|Running
-856.220703125,16.005916595458984,892.8727416992188|1,0,0|0,1,0|Running
-856.220703125,16.005916595458984,892.8727416992188|1,0,0|0,1,0|Running
-856.220703125,16.005916595458984,892.8727416992188|1,0,0|0,1,0|Running
-856.220703125,16.005916595458984,892.8727416992188|1,0,0|0,1,0|Running
