Mt Seru|true|32212
-689.125,50.005916595458984,-874.99951171875|0,0,-1|0,1,0|Running
-689.125,50.005916595458984,-874.99951171875|0,0,-1|0,1,0|Running
-689.125,50.005916595458984,-874.99951171875|0,0,-1|0,1,0|Running
-689.125,50.005916595458984,-874.99951171875|0,0,-1|0,1,0|Running
-689.125,50.005916595458984,-874.99951171875|0,0,-1|0,1,0|Running
-689.125,50.005916595458984,-874.99951171875|0,0,-1|0,1,0|Running
-689.125,50.005916595458984,-874.99951171875|0,0,-1|0,1,0|Running
-689.125,50.005916595458984,-874.99951171875|0,0,-1|0,1,0|Running
-689.125,50.005916595458984,-874.99951171875|0,0,-1|0,1,0|Running
-689.125,50.005916595458984,-874.99951171875|0,0,-1|0,1,0|Running
-689.125,50.005916595458984,-874.99951171875|0,0,-1|0,1,0|Running
-689.125,50.005916595458984,-874.99951171875|0,0,-1|0,1,0|Running
-689.125,50.005916595458984,-874.99951171875|0,0,-1|0,1,0|Running
-689.125,50.005916595458984,-874.99951171875|0,0,-1|0,1,0|Running
-689.125,50.005916595458984,-874.99951171875|0,0,-1|0,1,0|Running
-689.125,50.005916595458984,-874.99951171875|0,0,-1|0,1,0|Running
-689.125,50.005916595458984,-874.99951171875|0,0,-1|0,1,0|Running
-689.125,50.005916595458984,-874.99951171875|0,0,-1|0,1,0|Running
-689.125,50.005916595458984,-874.99951171875|0,0,-1|0,1,0|Running
-689.125,50.005916595458984,-874.99951171875|0,0,-1|0,1,0|Running
-689.125,50.005916595458984,-874.99951171875|0,0,-1|0,1,0|Running
-689.125,50.005916595458984,-874.99951171875|0,0,-1|0,1,0|Running
-689.125,50.005916595458984,-874.99951171875|0,0,-1|0,1,0|Running
-689.125,50.005916595458984,-874.99951171875|0,0,-1|0,1,0|Running
-689.125,50.005916595458984,-874.99951171875|0,0,-1|0,1,0|Running
-689.125,50.005916595458984,-874.99951171875|0,0,-1|0,1,0|Running
-689.125,50.005916595458984,-874.99951171875|0,0,-1|0,1,0|Running
-689.125,50.005916595458984,-874.99951171875|0,0,-1|0,1,0|Running
-689.125,50.005916595458984,-874.99951171875|0,0,-1|0,1,0|Running
-689.125,50.005916595458984,-874.99951171875|0,0,-1|0,1,0|Running
-689.125,50.005916595458984,-874.99951171875|0,0,-1|0,1,0|Running
-689.125,50.005916595458984,-874.99951171875|0,0,-1|0,1,0|Running
-689.125,50.005916595458984,-874.99951171875|0,0,-1|0,1,0|Running
-689.125,50.005916595458984,-874.99951171875|0,0,-1|0,1,0|Running
