molti|true|5442
39.49754333496094,783.7953491210938,934.5379028320312|-0,-0,-1|0,1,0|Running
39.49754333496094,783.7953491210938,934.5379028320312|-0,-0,-1|0,1,0|Running
39.49754333496094,783.7953491210938,934.5379028320312|-0,-0,-1|0,1,0|Running
39.49754333496094,783.7953491210938,934.5379028320312|-0,-0,-1|0,1,0|Running
39.49754333496094,783.7953491210938,934.5379028320312|-0,-0,-1|0,1,0|Running
39.49754333496094,783.7953491210938,934.5379028320312|-0,-0,-1|0,1,0|Running
39.49754333496094,783.7953491210938,934.5379028320312|-0,-0,-1|0,1,0|Running
39.49754333496094,783.7953491210938,934.5379028320312|-0,-0,-1|0,1,0|Running
39.49754333496094,783.7953491210938,934.5379028320312|-0,-0,-1|0,1,0|Running
39.49754333496094,783.7953491210938,934.5379028320312|-0,-0,-1|0,1,0|Running
39.49754333496094,783.7953491210938,934.5379028320312|-0,-0,-1|0,1,0|Running
39.49754333496094,783.7953491210938,934.5379028320312|-0,-0,-1|0,1,0|Running
39.49754333496094,783.7953491210938,934.5379028320312|-0,-0,-1|0,1,0|Running
39.49754333496094,783.7953491210938,934.5379028320312|-0,-0,-1|0,1,0|Running
39.49754333496094,783.7953491210938,934.5379028320312|-0,-0,-1|0,1,0|Running
39.49754333496094,783.7953491210938,934.5379028320312|-0,-0,-1|0,1,0|Running
39.49754333496094,783.7953491210938,934.5379028320312|-0,-0,-1|0,1,0|Running
39.49754333496094,783.7953491210938,934.5379028320312|-0,-0,-1|0,1,0|Running
39.49754333496094,783.7953491210938,934.5379028320312|-0,-0,-1|0,1,0|Running
39.49754333496094,783.7953491210938,934.5379028320312|-0,-0,-1|0,1,0|Running
39.49754333496094,783.7953491210938,934.5379028320312|-0,-0,-1|0,1,0|Running
39.49754333496094,783.7953491210938,934.5379028320312|-0,-0,-1|0,1,0|Running
39.49754333496094,783.7953491210938,934.5379028320312|-0,-0,-1|0,1,0|Running
39.49754333496094,783.7953491210938,934.5379028320312|-0,-0,-1|0,1,0|Running
39.49754333496094,783.7953491210938,934.5379028320312|-0,-0,-1|0,1,0|Running
39.49754333496094,783.7953491210938,934.5379028320312|-0,-0,-1|0,1,0|Running
39.49754333496094,783.7953491210938,934.5379028320312|-0,-0,-1|0,1,0|Running
39.49754333496094,783.7953491210938,934.5379028320312|-0,-0,-1|0,1,0|Running
39.49754333496094,783.7953491210938,934.5379028320312|-0,-0,-1|0,1,0|Running
39.49754333496094,783.7953491210938,934.5379028320312|-0,-0,-1|0,1,0|Running
39.49754333496094,783.7953491210938,934.5379028320312|-0,-0,-1|0,1,0|Running
39.49754333496094,783.7953491210938,934.5379028320312|-0,-0,-1|0,1,0|Running
39.49754333496094,783.7953491210938,934.5379028320312|-0,-0,-1|0,1,0|Running
39.49754333496094,783.7953491210938,934.5379028320312|-0,-0,-1|0,1,0|Running
39.49754333496094,783.7953491210938,934.5379028320312|-0,-0,-1|0,1,0|Running
39.49754333496094,783.7953491210938,934.5379028320312|-0,-0,-1|0,1,0|Running
39.49754333496094,783.7953491210938,934.5379028320312|-0,-0,-1|0,1,0|Running
39.49754333496094,783.7953491210938,934.5379028320312|-0,-0,-1|0,1,0|Running
39.49754333496094,783.7953491210938,934.5379028320312|-0,-0,-1|0,1,0|Running
39.49754333496094,783.7953491210938,934.5379028320312|-0,-0,-1|0,1,0|Running
39.49754333496094,783.7953491210938,934.5379028320312|-0,-0,-1|0,1,0|Running
39.49754333496094,783.7953491210938,934.5379028320312|-0,-0,-1|0,1,0|Running
39.49754333496094,783.7953491210938,934.5379028320312|-0,-0,-1|0,1,0|Running
39.49754333496094,783.7953491210938,934.5379028320312|-0,-0,-1|0,1,0|Running
39.49754333496094,783.7953491210938,934.5379028320312|-0,-0,-1|0,1,0|Running
39.49754333496094,783.7953491210938,934.5379028320312|-0,-0,-1|0,1,0|Running
39.49754333496094,783.7953491210938,934.5379028320312|-0,-0,-1|0,1,0|Running
39.49754333496094,783.7953491210938,934.5379028320312|-0,-0,-1|0,1,0|Running
39.49754333496094,783.7953491210938,934.5379028320312|-0,-0,-1|0,1,0|Running
39.49754333496094,783.7953491210938,934.5379028320312|-0,-0,-1|0,1,0|Running
39.49754333496094,783.7953491210938,934.5379028320312|-0,-0,-1|0,1,0|Running
39.49754333496094,783.7953491210938,934.5379028320312|-0,-0,-1|0,1,0|Running
39.49754333496094,783.7953491210938,934.5379028320312|-0,-0,-1|0,1,0|Running
39.49754333496094,783.7953491210938,934.5379028320312|-0,-0,-1|0,1,0|Running
39.49754333496094,783.7953491210938,934.5379028320312|-0,-0,-1|0,1,0|Running
39.49754333496094,783.7953491210938,934.5379028320312|-0,-0,-1|0,1,0|Running
39.49754333496094,783.7953491210938,934.5379028320312|-0,-0,-1|0,1,0|Running
39.49754333496094,783.7953491210938,934.5379028320312|-0,-0,-1|0,1,0|Running
39.49754333496094,783.7953491210938,934.5379028320312|-0,-0,-1|0,1,0|Running
39.49754333496094,783.7953491210938,934.5379028320312|-0,-0,-1|0,1,0|Running
39.49754333496094,783.7953491210938,934.5379028320312|-0,-0,-1|0,1,0|Running
39.49754333496094,783.7953491210938,934.5379028320312|-0,-0,-1|0,1,0|Running
39.49754333496094,783.7953491210938,934.5379028320312|-0,-0,-1|0,1,0|Running
39.49754333496094,783.7953491210938,934.5379028320312|-0,-0,-1|0,1,0|Running
39.49754333496094,783.7953491210938,934.5379028320312|-0,-0,-1|0,1,0|Running
39.49754333496094,783.7953491210938,934.5379028320312|-0,-0,-1|0,1,0|Running
39.49754333496094,783.7953491210938,934.5379028320312|-0,-0,-1|0,1,0|Running
39.49754333496094,783.7953491210938,934.5379028320312|-0,-0,-1|0,1,0|Running
39.49754333496094,783.7953491210938,934.5379028320312|-0,-0,-1|0,1,0|Running
39.49754333496094,783.7953491210938,934.5379028320312|-0,-0,-1|0,1,0|Running
39.49754333496094,783.7953491210938,934.5379028320312|-0,-0,-1|0,1,0|Running
39.49754333496094,783.7953491210938,934.5379028320312|-0,-0,-1|0,1,0|Running
39.49754333496094,783.7953491210938,934.5379028320312|-0,-0,-1|0,1,0|Running
39.49754333496094,783.7953491210938,934.5379028320312|-0,-0,-1|0,1,0|Running
39.49754333496094,783.7953491210938,934.5379028320312|-0,-0,-1|0,1,0|Running
39.49754333496094,783.7953491210938,934.5379028320312|-0,-0,-1|0,1,0|Running
39.49754333496094,783.7953491210938,934.5379028320312|-0,-0,-1|0,1,0|Running
39.49754333496094,783.7953491210938,934.5379028320312|-0,-0,-1|0,1,0|Running
39.49754333496094,783.7953491210938,934.5379028320312|-0,-0,-1|0,1,0|Running
39.49754333496094,783.7953491210938,934.5379028320312|-0,-0,-1|0,1,0|Running
39.49754333496094,783.7953491210938,934.5379028320312|-0,-0,-1|0,1,0|Running
39.49754333496094,783.7953491210938,934.5379028320312|-0,-0,-1|0,1,0|Running
39.49754333496094,783.7953491210938,934.5379028320312|-0,-0,-1|0,1,0|Running
39.49754333496094,783.7953491210938,934.5379028320312|-0,-0,-1|0,1,0|Running
39.49754333496094,783.7953491210938,934.5379028320312|-0,-0,-1|0,1,0|Running
39.49754333496094,783.7953491210938,934.5379028320312|-0,-0,-1|0,1,0|Running
39.49754333496094,783.7953491210938,934.5379028320312|-0,-0,-1|0,1,0|Running
39.49754333496094,783.7953491210938,934.5379028320312|-0,-0,-1|0,1,0|Running
39.49754333496094,783.7953491210938,934.5379028320312|-0,-0,-1|0,1,0|Running
39.49754333496094,783.7953491210938,934.5379028320312|-0,-0,-1|0,1,0|Running
39.49754333496094,783.7953491210938,934.5379028320312|-0,-0,-1|0,1,0|Running
39.49754333496094,783.7953491210938,934.5379028320312|-0,-0,-1|0,1,0|Running
