Mt Newbie|true|53710
490.7796630859375,28.00592041015625,282.0218505859375|0.9959475994110107,0,-0.08993588387966156|-3.646321911077166e-09,1.0000001192092896,-4.037927325839519e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9966948628425598,0,-0.08123704046010971|-2.078571315067279e-09,1.0000001192092896,-2.550193123340705e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9971064329147339,0,-0.07601971179246902|-8.025184961013565e-10,1.0000001192092896,-1.052616926955352e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9972373843193054,0,-0.07428086549043655|3.334035547641889e-10,1,4.476017778642927e-09|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9974905252456665,0,-0.0708002820611|1.386070036524245e-09,1,1.9528053840645043e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9977333545684814,0,-0.06729070097208023|2.335688087384824e-09,1,3.463173925410956e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9977333545684814,0,-0.06729070097208023|3.3531055709801194e-09,1,4.971720102275867e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9977333545684814,0,-0.06729070097208023|4.369653527902528e-09,1,6.47897735461811e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9977333545684814,0,-0.06729070097208023|5.385333956553495e-09,1,7.98494781406589e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9977333545684814,0,-0.06729070097208023|4.756591120980147e-09,1,7.052697981180245e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9977333545684814,0,-0.06729070097208023|2.485529781992568e-09,1,3.68534713857116e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9977333545684814,0,-0.06729070097208023|7.835073145834315e-10,1,1.1617227180238388e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9977333545684814,0,-0.06729070097208023|-2.050774661199739e-09,1,-3.0407267814780425e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9978492856025696,0,-0.0655508041381836|-4.208608128664082e-09,1.0000001192092896,-6.406567365502269e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9990804195404053,0,-0.04287702217698097|-2.6320685631020524e-09,1.0000001192092896,-6.133000596264537e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.999934196472168,0,-0.011474554426968098|-5.683605253103963e-10,1,-4.952899246291054e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9999154806137085,0,0.013000579550862312|3.8063613372329996e-10,1,-2.92759239073348e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9992986917495728,0,0.03744509071111679|4.75033345992415e-10,1,-1.2677234373370538e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.998294472694397,0,0.05838032811880112|-2.4693921907292804e-10,1.0000001192092896,4.2226218077701105e-09|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9973809719085693,0,0.07232705503702164|-1.5443523126990044e-09,1,2.129642240333851e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9964232444763184,0,0.08450265228748322|-3.2660478765933476e-09,1,3.8511998923240753e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9958087801933289,0,0.09146023541688919|-5.1255244493120244e-09,1.0000001192092896,5.580613304800863e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9951450824737549,0,0.09841892868280411|-7.236140575628269e-09,1,7.316691608139081e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9947947859764099,0,0.10189955681562424|-9.277440149446647e-09,1.0000001192092896,9.057104222165435e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9947947859764099,0,0.10189955681562424|-6.959483656032717e-09,1.0000001192092896,6.794198270654306e-08|Running
490.7796630859375,28.00592041015625,282.0218505859375|0.9947947859764099,0,0.10189955681562424|-3.276824589448779e-09,1.0000001192092896,3.1990012416827085e-08|Running
