1|true|1376
277.5,22.899232864379883,156|-1.1047128381340421e-13,-9.690426594488599e-08,-1|1.6711412698100503e-08,1,-9.690426594488599e-08|Running
277.5,22.899232864379883,156|-1.1005035587246387e-13,-6.199168467446725e-08,-1|1.069063859659991e-08,1,-6.199168467446725e-08|Running
277.5,22.899232864379883,156|-1.0984055597582434e-13,-2.7108935540809398e-08,-1|4.6750092685954314e-09,1,-2.7108935540809398e-08|Running
277.5,22.899232864379883,156|-1.098389635538835e-13,7.74400454872648e-09,-1|-1.3354796157827309e-09,1,7.74400454872648e-09|Running
277.5,22.899232864379883,156|-1.1004638498200714e-13,4.2567158686779294e-08,-1|-7.340832386404372e-09,1,4.2567158686779294e-08|Running
277.5,22.899232864379883,156|-1.1046091613012982e-13,7.736055351870164e-08,-1|-1.3341053595183894e-08,1,7.736055351870164e-08|Running
277.5,22.899232864379883,156|-1.1108490158544954e-13,1.1212421924255978e-07,-1|-1.9336146905857277e-08,1,1.1212421924255978e-07|Running
277.5,22.899232864379883,156|-1.1057644464787172e-13,7.788631961602732e-08,-1|-1.3431721512802142e-08,1,7.788631961602732e-08|Running
277.5,22.899232864379883,156|-1.1027299678858377e-13,4.367768369206715e-08,-1|-7.532340973170903e-09,1,4.367768369206715e-08|Running
277.5,22.899232864379883,156|-1.1017003146351553e-13,9.498278608077726e-09,-1|-1.638002178339093e-09,1,9.498278608077726e-09|Running
277.5,22.899232864379883,156|-1.1026926984361585e-13,-2.4651919616758278e-08,-1|4.251299312585388e-09,1,-2.4651919616758278e-08|Running
277.5,22.899232864379883,156|-1.1056893654782726e-13,-5.8772936739615034e-08,-1|1.0135567940494639e-08,1,-5.8772936739615034e-08|Running
277.5,22.899232864379883,156|-1.1106949236207309e-13,-9.286478785952568e-08,-1|1.6014809034459176e-08,1,-9.286478785952568e-08|Running
277.5,22.899232864379883,156|-1.1176831487234862e-13,-1.2692750317455648e-07,-1|2.188902570310347e-08,1,-1.2692750317455648e-07|Running
277.5,22.899232864379883,156|-1.1108147279607905e-13,-8.508669679940795e-08,-1|1.4673450898783358e-08,1,-8.508669679940795e-08|Running
277.5,22.899232864379883,156|-1.1069965067224755e-13,-4.328165204015022e-08,-1|7.464041829052803e-09,1,-4.328165204015022e-08|Running
277.5,22.899232864379883,156|-1.1061735295109232e-13,-1.5123331476019075e-09,-1|2.607935811749229e-10,1,-1.5123331476019075e-09|Running
277.5,22.899232864379883,156|-1.1083522337765328e-13,4.022129118652629e-08,-1|-6.9362990906540745e-09,1,4.022129118652629e-08|Running
277.5,22.899232864379883,156|-1.11354874702662e-13,8.191925360279129e-08,-1|-1.4127240710593014e-08,1,8.191925360279129e-08|Running
277.5,22.899232864379883,156|-1.1217524305273674e-13,1.235815858535716e-07,-1|-2.131203835631368e-08,1,1.235815858535716e-07|Running
277.5,22.899232864379883,156|-1.115852608880516e-13,8.779489490962078e-08,-1|-1.5140503961674767e-08,1,8.779489490962078e-08|Running
277.5,22.899232864379883,156|-1.112120446189642e-13,5.203878572501708e-08,-1|-8.974243570492035e-09,1,5.203878572501708e-08|Running
277.5,22.899232864379883,156|-1.1105975487131145e-13,1.631323343076474e-08,-1|-2.8132522977841745e-09,1,1.631323343076474e-08|Running
277.5,22.899232864379883,156|-1.1112824256729464e-13,-1.9381790394845666e-08,-1|3.342474075296309e-09,1,-1.9381790394845666e-08|Running
277.5,22.899232864379883,156|-1.1141633541331478e-13,-5.504631062080989e-08,-1|9.492940655775328e-09,1,-5.504631062080989e-08|Running
277.5,22.899232864379883,156|-1.1192069271142788e-13,-9.068035211612369e-08,-1|1.5638150330232747e-08,1,-9.068035211612369e-08|Running
277.5,22.899232864379883,156|-1.1264224280974414e-13,-1.2628395040792384e-07,-1|2.177810820569448e-08,1,-1.2628395040792384e-07|Running
277.5,22.899232864379883,156|-1.1197551946003775e-13,-8.56537099025445e-08,-1|1.4771278422642808e-08,1,-8.56537099025445e-08|Running
277.5,22.899232864379883,156|-1.1159354148214395e-13,-4.505819362066177e-08,-1|7.770436738496755e-09,1,-4.505819362066177e-08|Running
277.5,22.899232864379883,156|-1.1149634275738063e-13,-4.497366479228049e-09,-1|7.755779907192561e-10,1,-4.497366479228049e-09|Running
277.5,22.899232864379883,156|-1.1168279842599382e-13,3.602880127573371e-08,-1|-6.213303649360569e-09,1,3.602880127573371e-08|Running
277.5,22.899232864379883,156|-1.1215084172759224e-13,7.652033673366532e-08,-1|-1.3196212123034456e-08,1,7.652033673366532e-08|Running
277.5,22.899232864379883,156|-1.1289980858834522e-13,1.1697727586579276e-07,-1|-2.01731538140848e-08,1,1.1697727586579276e-07|Running
277.5,22.899232864379883,156|-1.1237708083967207e-13,8.369799076035633e-08,-1|-1.4434015760400598e-08,1,8.369799076035633e-08|Running
277.5,22.899232864379883,156|-1.120438038681136e-13,5.0447138022491345e-08,-1|-8.699783116128401e-09,1,5.0447138022491345e-08|Running
277.5,22.899232864379883,156|-1.1190058753739185e-13,1.722470344134308e-08,-1|-2.97045010810848e-09,1,1.722470344134308e-08|Running
277.5,22.899232864379883,156|-1.1194740474245249e-13,-1.5969343181154727e-08,-1|2.753987038417449e-09,1,-1.5969343181154727e-08|Running
277.5,22.899232864379883,156|-1.1218403864286103e-13,-4.913502138492731e-08,-1|8.47353298638609e-09,1,-4.913502138492731e-08|Running
277.5,22.899232864379883,156|-1.126089984606303e-13,-8.227236492075463e-08,-1|1.4188191066466516e-08,1,-8.227236492075463e-08|Running
