runia|false|23720
956.7861938476562,117.2248306274414,-990.216796875|-0.7653296589851379,-0,0.6436384916305542|0,1,0|Running
956.7861938476562,117.2248306274414,-990.216796875|-0.7653296589851379,-0,0.6436384916305542|0,1,0|Running
956.7861938476562,117.2248306274414,-990.216796875|-0.7653296589851379,-0,0.6436384916305542|0,1,0|Running
956.7861938476562,117.2248306274414,-990.216796875|-0.7653296589851379,-0,0.6436384916305542|0,1,0|Running
956.7861938476562,117.2248306274414,-990.216796875|-0.7653296589851379,-0,0.6436384916305542|0,1,0|Running
956.7861938476562,117.2248306274414,-990.216796875|-0.7653296589851379,-0,0.6436384916305542|0,1,0|Running
956.7861938476562,117.2248306274414,-990.216796875|-0.7653296589851379,-0,0.6436384916305542|0,1,0|Running
956.7861938476562,117.2248306274414,-990.216796875|-0.7653296589851379,-0,0.6436384916305542|0,1,0|Running
956.7861938476562,117.2248306274414,-990.216796875|-0.7653296589851379,-0,0.6436384916305542|0,1,0|Running
956.7861938476562,117.2248306274414,-990.216796875|-0.7653296589851379,-0,0.6436384916305542|0,1,0|Running
956.7861938476562,117.2248306274414,-990.216796875|-0.7653296589851379,-0,0.6436384916305542|0,1,0|Running
956.7861938476562,117.2248306274414,-990.216796875|-0.7653296589851379,-0,0.6436384916305542|0,1,0|Running
956.7861938476562,117.2248306274414,-990.216796875|-0.7653296589851379,-0,0.6436384916305542|0,1,0|Running
956.7861938476562,117.2248306274414,-990.216796875|-0.7653296589851379,-0,0.6436384916305542|0,1,0|Running
956.7861938476562,117.2248306274414,-990.216796875|-0.7653296589851379,-0,0.6436384916305542|0,1,0|Running
956.7861938476562,117.2248306274414,-990.216796875|-0.7653296589851379,-0,0.6436384916305542|0,1,0|Running
956.7861938476562,117.2248306274414,-990.216796875|-0.7653296589851379,-0,0.6436384916305542|0,1,0|Running
956.7861938476562,117.2248306274414,-990.216796875|-0.7653296589851379,-0,0.6436384916305542|0,1,0|Running
956.7861938476562,117.2248306274414,-990.216796875|-0.7653296589851379,-0,0.6436384916305542|0,1,0|Running
956.7861938476562,117.2248306274414,-990.216796875|-0.7653296589851379,-0,0.6436384916305542|0,1,0|Running
956.7861938476562,117.2248306274414,-990.216796875|-0.7653296589851379,-0,0.6436384916305542|0,1,0|Running
956.7861938476562,117.2248306274414,-990.216796875|-0.7653296589851379,-0,0.6436384916305542|0,1,0|Running
956.7861938476562,117.2248306274414,-990.216796875|-0.7653296589851379,-0,0.6436384916305542|0,1,0|Running
956.7861938476562,117.2248306274414,-990.216796875|-0.7653296589851379,-0,0.6436384916305542|0,1,0|Running
956.7861938476562,117.2248306274414,-990.216796875|-0.7653296589851379,-0,0.6436384916305542|0,1,0|Running
956.7861938476562,117.2248306274414,-990.216796875|-0.7653296589851379,-0,0.6436384916305542|0,1,0|Running
956.7861938476562,117.2248306274414,-990.216796875|-0.7653296589851379,-0,0.6436384916305542|0,1,0|Running
956.7861938476562,117.2248306274414,-990.216796875|-0.7653296589851379,-0,0.6436384916305542|0,1,0|Running
956.7861938476562,117.2248306274414,-990.216796875|-0.7653296589851379,-0,0.6436384916305542|0,1,0|Running
956.7861938476562,117.2248306274414,-990.216796875|-0.7653296589851379,-0,0.6436384916305542|0,1,0|Running
956.7861938476562,117.2248306274414,-990.216796875|-0.7653296589851379,-0,0.6436384916305542|0,1,0|Running
956.7861938476562,117.2248306274414,-990.216796875|-0.7653296589851379,-0,0.6436384916305542|0,1,0|Running
956.7861938476562,117.2248306274414,-990.216796875|-0.7653296589851379,-0,0.6436384916305542|0,1,0|Running
956.7861938476562,117.2248306274414,-990.216796875|-0.7653296589851379,-0,0.6436384916305542|0,1,0|Running
956.7861938476562,117.2248306274414,-990.216796875|-0.7653296589851379,-0,0.6436384916305542|0,1,0|Running
956.7861938476562,117.2248306274414,-990.216796875|-0.7653296589851379,-0,0.6436384916305542|0,1,0|Running
956.7861938476562,117.2248306274414,-990.216796875|-0.7653296589851379,-0,0.6436384916305542|0,1,0|Running
956.7861938476562,117.2248306274414,-990.216796875|-0.7653296589851379,-0,0.6436384916305542|0,1,0|Running
